Player,Pos,Squad,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgR
Gerard Deulofeu,FW,Udinese,1211,2,6,8,2,0,0,1,0,5.1,5.1,4.4,9.5,72.0,118.0
Kiernan Dewsbury-Hall,MF,Leicester City,2306,2,2,4,2,0,0,5,1,2.4,2.4,3.3,5.6,68.0,91.0
Samuel Di Carmine,"FW,MF",Cremonese,28,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,2.0
Federico Di Francesco,"FW,MF",Lecce,2031,2,2,4,2,0,0,5,0,3.3,3.3,2.7,6.0,50.0,177.0
Michele Di Gregorio,GK,Monza,3330,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Giovanni Di Lorenzo,DF,Napoli,3257,3,4,7,3,0,0,2,0,2.7,2.7,4.7,7.4,73.0,182.0
Ángel Di María,"FW,MF",Juventus,1363,4,4,8,3,1,1,1,1,3.1,2.3,4.5,6.7,56.0,95.0
Boulaye Dia,"FW,MF",Salernitana,2518,16,6,22,15,1,1,4,0,8.8,8.0,3.1,11.1,48.0,140.0
Moussa Diaby,"FW,MF",Leverkusen,2699,9,8,17,9,0,1,4,0,11.0,10.3,8.2,18.5,125.0,258.0
Mouctar Diakhaby,DF,Valencia,2446,3,0,3,3,0,0,7,1,2.7,2.7,0.3,3.0,19.0,11.0
Mamadou Diakhon,FW,Reims,21,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
Bafodé Diakité,DF,Lille,2653,3,0,3,3,0,0,6,0,1.7,1.7,0.7,2.4,43.0,67.0
Ibrahim Diakité,DF,Reims,131,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0.0,6.0
Abdou Diallo,"DF,MF",RB Leipzig,478,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,11.0,3.0
Baila Diallo,"DF,MF",Clermont Foot,89,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,9.0
Habib Diallo,FW,Strasbourg,2879,20,1,21,17,3,4,4,1,17.8,14.5,3.5,18.0,40.0,203.0
Ibrahima Diallo,MF,Southampton,819,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,9.0,6.0
Ismael Diallo,DF,Ajaccio,2176,0,0,0,0,0,0,9,1,0.3,0.3,0.6,0.8,36.0,36.0
Habib Diarra,"MF,FW",Strasbourg,1626,3,2,5,3,0,0,4,0,1.8,1.8,2.2,4.1,68.0,89.0
Mamady Diarra,"MF,DF",Cádiz,66,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3.0,0.0
Moussa Diarra,DF,Toulouse,1225,0,1,1,0,0,0,0,0,0.2,0.2,0.7,0.9,21.0,43.0
Stéphane Diarra,"FW,MF",Lorient,1066,2,0,2,2,0,0,1,0,2.2,2.2,1.7,4.0,40.0,85.0
Youba Diarra,MF,Cádiz,98,0,0,0,0,0,0,2,0,0.0,0.0,0.5,0.5,1.0,1.0
Rúben Dias,DF,Manchester City,1998,0,0,0,0,0,0,3,0,1.3,1.3,0.6,1.9,14.0,2.0
Krépin Diatta,"MF,FW",Monaco,2072,4,2,6,4,0,0,3,0,4.6,4.6,3.4,8.0,80.0,229.0
Mory Diaw,GK,Clermont Foot,3330,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.0,0.0
Brahim Díaz,"MF,FW",Milan,1925,6,7,13,6,0,0,3,0,6.0,6.0,5.6,11.5,80.0,116.0
Luis Díaz,FW,Liverpool,996,4,2,6,4,0,0,2,0,2.5,2.5,1.5,4.0,39.0,116.0
Justin Diehl,"MF,FW",Köln,17,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
Eric Dier,DF,Tottenham,2818,2,1,3,2,0,0,3,0,1.6,1.6,1.2,2.8,9.0,14.0
Florian Dietz,FW,Köln,395,1,0,1,1,0,0,1,0,2.5,2.5,0.3,2.8,8.0,22.0
Lucas Digne,DF,Aston Villa,1502,1,0,1,1,0,0,5,0,0.4,0.4,1.9,2.3,29.0,89.0
Federico Dimarco,DF,Inter,2069,4,3,7,4,0,0,0,0,3.1,3.1,6.9,9.9,45.0,189.0
Stole Dimitrievski,GK,Rayo Vallecano,3324,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0
Junior Dina Ebimbe,"DF,MF",Eint Frankfurt,1063,3,1,4,3,0,0,4,0,3.7,3.7,1.4,5.1,38.0,42.0
Tristan Dingomé,MF,Troyes,99,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,1.0,4.0
Eren Dinkçi,"FW,MF",Werder Bremen,231,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,5.0,24.0
Sinaly Diomande,DF,Lyon,1957,0,0,0,0,0,0,2,1,0.8,0.8,0.2,1.0,10.0,8.0
Lois Diony,FW,Angers,506,1,0,1,1,0,0,1,0,2.2,2.2,0.3,2.5,14.0,64.0
Edan Diop,"DF,FW",Monaco,223,1,0,1,1,0,0,0,0,1.2,1.2,0.8,2.1,8.0,29.0
Issa Diop,DF,Fulham,2012,1,0,1,1,0,0,2,0,0.3,0.3,0.4,0.7,13.0,4.0
Yehvann Diouf,GK,Reims,2790,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
Axel Disasi,DF,Monaco,3330,3,3,6,3,0,1,3,0,3.8,3.0,1.2,4.2,64.0,17.0
Tiago Djaló,DF,Lille,2017,2,0,2,2,0,0,7,0,1.3,1.3,0.1,1.4,9.0,4.0
Djené,DF,Getafe,2840,0,1,1,0,0,0,10,1,0.6,0.6,0.7,1.2,11.0,20.0
Moussa Djenepo,"DF,FW",Southampton,710,0,2,2,0,0,0,1,0,0.2,0.2,0.5,0.7,27.0,39.0
Koffi Djidji,DF,Torino,2424,1,0,1,1,0,0,3,0,0.9,0.9,0.1,1.1,11.0,13.0
Alexander Djiku,DF,Strasbourg,2677,1,2,3,1,0,0,8,1,1.4,1.4,0.7,2.1,4.0,4.0
Berat Djimsiti,DF,Atalanta,1797,0,1,1,0,0,0,3,0,0.6,0.6,0.2,0.8,7.0,9.0
Moussa Djitte,FW,Ajaccio,136,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0.0,12.0
Ouparine Djoco,GK,Clermont Foot,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Marko Dmitrović,GK,Sevilla,1269,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Do Marcolino,FW,Rennes,19,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Doak,FW,Liverpool,26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0
Ritsu Doan,"MF,FW",Freiburg,2424,5,4,9,5,0,0,3,0,7.0,7.0,3.2,10.2,83.0,167.0
Dodô,DF,Fiorentina,2331,1,3,4,1,0,0,5,1,0.7,0.7,2.2,2.9,72.0,104.0
Danilho Doekhi,DF,Union Berlin,2216,5,1,6,5,0,0,0,0,1.9,1.9,0.4,2.3,15.0,21.0
Josh Doig,DF,Hellas Verona,1354,2,3,5,2,0,0,1,0,1.8,1.8,1.2,3.0,41.0,61.0
Jeremy Doku,"MF,FW",Rennes,1291,6,2,8,6,0,0,0,0,2.7,2.7,4.9,7.5,101.0,156.0
Carlos Dominguez,DF,Celta Vigo,108,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolás Domínguez,MF,Bologna,2300,3,2,5,3,0,0,10,0,2.6,2.6,2.9,5.4,39.0,84.0
John Donald,"MF,DF",Elche,1092,0,0,0,0,0,0,3,1,0.1,0.1,0.1,0.2,3.0,2.0
Giulio Donati,DF,Monza,422,1,0,1,1,0,0,4,2,0.4,0.4,0.1,0.5,4.0,8.0
Kyliane Dong,"MF,FW",Troyes,213,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,12.0,18.0
Jordan Dongmo,MF,Troyes,20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Gianluigi Donnarumma,GK,Paris S-G,3409,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0
Niklas Dorsch,MF,Augsburg,483,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2.0,0.0
Jodel Dossou,"MF,DF",Clermont Foot,258,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,8.0,23.0
Lohann Doucet,"MF,FW",Nantes,91,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,2.0,1.0
Abdoulaye Doucouré,MF,Everton,1533,5,2,7,5,0,0,6,1,2.4,2.4,2.2,4.6,23.0,66.0
Cheick Doucouré,MF,Crystal Palace,2769,0,3,3,0,0,0,10,1,1.4,1.4,1.9,3.4,18.0,17.0
Siriné Doucouré,"FW,MF",Lorient,136,0,1,1,0,0,0,0,0,0.7,0.7,0.6,1.3,5.0,20.0
Désiré Doué,"MF,FW",Rennes,1115,3,1,4,3,0,0,5,0,1.6,1.6,1.5,3.1,39.0,83.0
Guela Doué,"FW,MF",Rennes,12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Ismaël Doukouré,"DF,MF",Strasbourg,2297,1,1,2,1,0,0,5,0,0.3,0.3,0.4,0.7,27.0,20.0
Kamory Doumbia,MF,Reims,1155,2,2,4,1,1,1,0,0,3.7,2.9,2.9,5.8,29.0,82.0
Souleyman Doumbia,"DF,FW",Angers,1790,0,0,0,0,0,0,2,1,1.0,1.0,1.6,2.6,52.0,95.0
Flynn Downes,MF,West Ham,762,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,3.0,11.0
Kami Doyle,MF,Southampton,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bartłomiej Drągowski,GK,Spezia,2946,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0.0,0.0
Cody Drameh,DF,Leeds United,69,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
Dion Drena Beljo,FW,Augsburg,1128,3,2,5,3,0,0,2,0,1.6,1.6,1.7,3.2,14.0,42.0
Dominick Drexler,"MF,FW",Schalke 04,1366,4,3,7,4,0,0,3,1,2.4,2.4,2.1,4.5,17.0,69.0
Domingos Duarte,DF,Getafe,2657,0,2,2,0,0,0,11,1,1.3,1.3,0.8,2.1,6.0,0.0
Martin Dúbravka,GK,Newcastle Utd,157,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Ducksch,FW,Werder Bremen,2852,12,6,18,12,0,1,4,0,11.3,10.5,5.5,16.0,31.0,215.0
Shane Duffy,"DF,FW",Fulham,20,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.0
Rémy Dugimont,"FW,MF",Auxerre,113,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,2.0,12.0
Denzel Dumfries,DF,Inter,2218,1,4,5,1,0,0,4,0,3.6,3.6,4.9,8.5,62.0,172.0
Alfred Duncan,MF,Fiorentina,1103,1,0,1,1,0,0,3,0,0.5,0.5,0.6,1.1,18.0,30.0
Lewis Dunk,DF,Brighton,3239,1,0,1,1,0,0,4,0,1.7,1.7,1.0,2.7,19.0,5.0
Maxime Dupé,GK,Toulouse,3420,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
Jhon Durán,"FW,MF",Aston Villa,136,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,4.0,13.0
Pablo Durán,"MF,DF",Celta Vigo,36,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
Julien Duranville,MF,Dortmund,29,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,4.0,4.0
Hugo Duro,FW,Valencia,1385,1,1,2,1,0,1,5,0,4.4,3.6,1.1,4.7,9.0,67.0
Jean-Kevin Duverne,DF,Brest,2515,0,0,0,0,0,0,2,0,0.4,0.4,0.8,1.2,80.0,134.0
Paulo Dybala,"MF,FW",Roma,1739,12,6,18,7,5,5,5,0,9.3,5.3,6.9,12.2,56.0,109.0
Edin Džeko,FW,Inter,1732,9,3,12,9,0,0,3,0,9.7,9.7,3.2,13.0,32.0,150.0
Malcolm Ebiowei,"MF,FW",Crystal Palace,34,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,9.0
Festy Ebosele,DF,Udinese,411,0,1,1,0,0,0,4,0,0.2,0.2,0.9,1.1,27.0,22.0
Enzo Ebosse,DF,Udinese,930,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,11.0,20.0
Tyronne Ebuehi,DF,Empoli,1923,2,4,6,2,0,0,0,0,3.1,3.1,1.9,5.0,31.0,42.0
Ederson,GK,Manchester City,3150,0,1,1,0,0,0,3,0,0.0,0.0,0.2,0.2,0.0,0.0
Éderson,MF,Atalanta,2215,1,1,2,1,0,0,4,0,2.0,2.0,2.3,4.2,37.0,62.0
Odsonne Édouard,FW,Crystal Palace,1803,5,2,7,5,0,0,3,0,4.2,4.2,1.2,5.4,29.0,100.0
Samuel Edozie,"FW,MF",Southampton,567,0,0,0,0,0,0,0,0,0.9,0.9,0.4,1.3,26.0,39.0
Maximilian Eggestein,MF,Freiburg,2451,1,2,3,1,0,0,6,0,0.9,0.9,1.7,2.6,20.0,46.0
Lilian Egloff,"MF,FW",Stuttgart,241,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.7,8.0,22.0
Íñigo Eguaras,MF,Almería,967,1,1,2,1,0,0,6,0,1.0,1.0,0.6,1.7,8.0,7.0
Julian Eitschberger,FW,Hertha BSC,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Chidera Ejuke,"FW,MF",Hertha BSC,890,0,3,3,0,0,0,0,0,1.5,1.5,1.3,2.7,38.0,67.0
Albin Ekdal,MF,Spezia,1734,0,2,2,0,0,0,6,1,2.9,2.9,1.6,4.4,15.0,35.0
Hugo Ekitike,FW,Paris S-G,1155,3,4,7,3,0,0,0,0,3.7,3.7,1.6,5.3,23.0,84.0
Emmanuel Ekong,"FW,MF",Empoli,20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
Anthony Elanga,FW,Manchester Utd,426,0,1,1,0,0,0,0,0,0.7,0.7,0.9,1.6,12.0,28.0
Alberth Elis,"MF,FW",Brest,257,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,8.0,19.0
Mikael Ellertsson,"MF,DF",Spezia,171,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.2,3.0,4.0
Harvey Elliott,"MF,FW",Liverpool,1613,1,2,3,1,0,0,2,0,2.1,2.1,3.6,5.7,54.0,129.0
Elif Elmas,"FW,MF",Napoli,1627,6,3,9,5,1,1,5,0,4.0,3.3,1.9,5.2,42.0,103.0
Mohamed Elneny,MF,Arsenal,113,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
Aritz Elustondo,DF,Real Sociedad,1449,0,1,1,0,0,0,5,1,0.7,0.7,1.1,1.8,21.0,19.0
Nico Elvedi,DF,M'Gladbach,2826,3,0,3,3,0,0,2,0,2.6,2.6,0.3,2.9,20.0,5.0
Rodrigo Ely,DF,Almería,3155,0,1,1,0,0,0,10,1,1.0,1.0,0.8,1.8,6.0,4.0
Mohamed Elyounoussi,"MF,FW",Southampton,2168,1,1,2,1,0,0,4,0,3.5,3.5,2.1,5.6,56.0,98.0
Breel Embolo,FW,Monaco,1859,12,2,14,12,0,1,3,0,8.5,7.6,3.2,10.8,24.0,159.0
Emerson,DF,Tottenham,1735,2,1,3,2,0,0,2,1,1.7,1.7,0.6,2.3,47.0,103.0
Youssef En-Nesyri,FW,Sevilla,1661,8,1,9,8,0,0,4,0,8.1,8.1,1.1,9.2,16.0,71.0
Julio Enciso,"FW,MF",Brighton,806,4,2,6,4,0,0,1,0,4.0,4.0,1.7,5.7,39.0,74.0
Wataru Endo,MF,Stuttgart,2922,5,4,9,5,0,0,3,0,3.8,3.8,4.7,8.5,32.0,67.0
Arne Engels,MF,Augsburg,1440,0,3,3,0,0,0,5,0,0.6,0.6,2.2,2.8,9.0,25.0
Christian Eriksen,MF,Manchester Utd,2048,1,8,9,1,0,0,3,0,5.0,5.0,4.2,9.2,23.0,66.0
Martin Erlic,DF,Sassuolo,2330,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,7.0,1.0
Tjark Ernst,GK,Hertha BSC,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Escudero,DF,Valladolid,1439,1,0,1,1,0,0,3,0,1.5,1.5,1.8,3.3,17.0,37.0
Alfonso Espino,DF,Cádiz,3122,0,4,4,0,0,0,7,0,1.5,1.5,4.2,5.7,53.0,129.0
Bernardo Espinosa,DF,Girona,1225,1,1,2,1,0,0,5,0,1.2,1.2,0.0,1.2,8.0,3.0
Salvatore Esposito,MF,Spezia,971,1,0,1,1,0,0,5,1,0.7,0.7,1.5,2.2,4.0,11.0
Maxime Estève,DF,Montpellier,1646,0,0,0,0,0,0,3,0,0.6,0.6,0.1,0.6,9.0,1.0
Pervis Estupiñán,DF,Brighton,2675,1,5,6,1,0,0,4,0,1.7,1.7,5.4,7.1,91.0,183.0
Jonny Evans,DF,Leicester City,1051,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,6.0,0.0
Edu Expósito,MF,Espanyol,1160,2,2,4,2,0,0,3,1,0.9,0.9,2.4,3.3,19.0,59.0
Eberechi Eze,"MF,FW",Crystal Palace,2636,10,4,14,9,1,1,3,0,7.3,6.5,4.3,10.8,69.0,129.0
Kimberly Ezekwem,DF,Freiburg,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
Nicolás Ezequiel Fernández,"MF,DF",Elche,514,0,1,1,0,0,0,2,0,0.4,0.4,0.8,1.2,21.0,53.0
Abdessamad Ezzalzouli,"FW,MF",Osasuna,1504,4,2,6,4,0,0,4,2,2.7,2.7,1.9,4.6,93.0,136.0
Łukasz Fabiański,GK,West Ham,3111,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Fabinho,MF,Liverpool,2671,0,2,2,0,0,0,11,0,0.7,0.7,2.1,2.9,15.0,39.0
Fábio,"DF,MF",Nantes,224,0,0,0,0,0,0,1,1,0.2,0.2,0.6,0.8,4.0,18.0
Noah Fadiga,DF,Brest,1308,1,0,1,1,0,0,2,0,0.7,0.7,0.1,0.8,43.0,36.0
Nicolò Fagioli,MF,Juventus,1520,3,3,6,3,0,0,3,0,1.5,1.5,1.3,2.8,27.0,56.0
Ralf Fährmann,GK,Schalke 04,1025,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Radamel Falcao,"FW,MF",Rayo Vallecano,616,2,0,2,1,1,1,4,0,2.9,2.1,0.1,2.2,2.0,53.0
Wladimiro Falcone,GK,Lecce,3420,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0.0,0.0
Fali,"DF,MF",Cádiz,1714,0,0,0,0,0,0,6,0,0.6,0.6,0.2,0.8,9.0,10.0
Fallou Fall,DF,Reims,32,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Mamadou Fall,DF,Villarreal,30,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Davide Faraoni,DF,Hellas Verona,1485,2,3,5,2,0,0,7,0,2.7,2.7,1.0,3.7,11.0,33.0
Ansu Fati,FW,Barcelona,1393,7,3,10,7,0,0,3,0,9.1,9.1,1.7,10.7,47.0,178.0
Khalil Fayad,MF,Montpellier,718,0,2,2,0,0,0,1,1,0.5,0.5,1.4,1.9,9.0,11.0
Cheikh Faye,FW,Montpellier,37,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
Federico Fazio,DF,Salernitana,1074,1,0,1,1,0,0,2,1,0.7,0.7,0.1,0.8,13.0,4.0
Jacopo Fazzini,MF,Empoli,825,0,0,0,0,0,0,4,0,1.0,1.0,0.9,1.9,11.0,40.0
Zouhair Feddal,DF,Valladolid,375,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,0.0,0.0
Nabil Fekir,MF,Betis,961,2,2,4,1,1,1,4,1,2.4,1.6,2.7,4.4,42.0,76.0
Luiz Felipe,DF,Betis,1763,0,0,0,0,0,0,3,3,0.2,0.2,0.3,0.5,1.0,0.0
Ohis Felix Uduokhai,DF,Augsburg,1450,0,1,1,0,0,0,3,1,0.3,0.3,0.3,0.6,12.0,5.0
Kiko Femenía,DF,Villarreal,1133,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.7,36.0,47.0
Evan Ferguson,FW,Brighton,950,6,2,8,6,0,0,1,0,5.3,5.3,0.7,6.1,11.0,58.0
Lewis Ferguson,"MF,FW",Bologna,2314,7,0,7,7,0,0,4,0,4.7,4.7,1.0,5.7,31.0,114.0
Bruno Fernandes,"MF,FW",Manchester Utd,3316,8,8,16,6,2,2,6,0,9.3,7.7,16.7,24.4,89.0,231.0
Edimilson Fernandes,DF,Mainz 05,2437,0,3,3,0,0,0,4,0,0.7,0.7,1.3,1.9,15.0,23.0
Aitor Fernández,GK,Osasuna,1890,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Álex Fernández,"MF,FW",Cádiz,1576,3,0,3,2,1,1,0,0,2.7,1.9,1.6,3.4,19.0,26.0
Álvaro Fernández,GK,Espanyol,990,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0.0,0.0
Carlos Fernández,FW,Real Sociedad,631,1,0,1,1,0,0,6,0,2.4,2.4,0.6,2.9,9.0,54.0
Enzo Fernández,MF,Chelsea,1547,0,2,2,0,0,0,3,0,0.8,0.8,2.4,3.2,22.0,18.0
Federico Fernández,DF,Elche,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Joaquín Fernández,DF,Valladolid,2156,1,0,1,1,0,0,4,0,0.5,0.5,0.1,0.6,6.0,3.0
Valery Fernández,"MF,DF",Girona,967,0,2,2,0,0,0,1,0,0.7,0.7,1.2,1.9,18.0,84.0
Salvador Ferrer,DF,Spezia,136,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
Jordan Ferri,MF,Montpellier,2738,1,2,3,1,0,0,7,1,0.8,0.8,3.0,3.8,37.0,42.0
Fidel,"MF,FW",Elche,1714,3,2,5,2,1,1,5,0,2.3,1.5,2.3,3.8,53.0,90.0
Karol Fila,DF,Strasbourg,47,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4.0,4.0
Vincenzo Fiorillo,GK,Salernitana,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto Firmino,"FW,MF",Liverpool,1213,11,4,15,11,0,0,0,0,5.5,5.5,2.5,8.0,16.0,96.0
Junior Firpo,DF,Leeds United,1368,1,1,2,1,0,0,6,1,0.1,0.1,0.8,0.9,20.0,34.0
Kilian Fischer,"DF,FW",Wolfsburg,502,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,6.0,21.0
Mark Flekken,GK,Freiburg,3060,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0.0,0.0
Florian Flick,MF,Schalke 04,512,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2.0,2.0
Alexis Flips,"FW,MF",Reims,1978,4,6,10,4,0,0,3,1,3.9,3.9,6.2,10.0,23.0,162.0
Alessandro Florenzi,DF,Milan,203,0,0,0,0,0,0,1,0,0.8,0.8,0.5,1.2,1.0,19.0
Phil Foden,FW,Manchester City,1842,11,6,17,11,0,0,1,0,5.9,5.9,4.7,10.6,68.0,275.0
Seko Fofana,MF,Lens,3073,7,5,12,6,1,2,2,0,9.3,7.7,3.6,11.3,117.0,233.0
Yahia Fofana,GK,Angers,990,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
Youssouf Fofana,MF,Monaco,3086,2,2,4,2,0,0,4,2,2.8,2.8,4.4,7.2,81.0,71.0
Thomas Foket,DF,Reims,1976,0,1,1,0,0,0,0,0,0.1,0.1,2.8,2.9,56.0,154.0
José Fonte,DF,Lille,2592,1,0,1,1,0,0,7,0,1.4,1.4,0.4,1.8,7.0,8.0
Pablo Fornals,"FW,MF",West Ham,1503,3,1,4,3,0,0,0,0,2.2,2.2,1.7,3.9,33.0,101.0
Emil Forsberg,"MF,FW",RB Leipzig,1482,6,4,10,4,2,2,2,0,4.9,3.3,2.3,5.6,20.0,77.0
Adam Forshaw,MF,Leeds United,479,0,0,0,0,0,0,0,0,0.0,0.0,0.9,0.9,4.0,7.0
Fraser Forster,GK,Tottenham,1215,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Philipp Förster,MF,Bochum,1309,3,7,10,3,0,0,4,0,1.4,1.4,3.4,4.8,19.0,47.0
Steven Fortes,DF,Lens,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Timothy Fosu-Mensah,DF,Leverkusen,191,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,3.0,8.0
Dimitri Foulquier,DF,Valencia,1738,0,2,2,0,0,0,4,0,0.2,0.2,1.7,1.8,51.0,84.0
Juan Foyth,DF,Villarreal,1958,1,0,1,1,0,0,6,0,1.1,1.1,1.6,2.7,47.0,18.0
Raphael Framberger,"DF,FW",Augsburg,176,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
Tyrese Francois,FW,Fulham,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
Bartol Franjić,MF,Wolfsburg,227,0,1,1,0,0,0,0,0,0.3,0.3,0.1,0.4,3.0,1.0
Przemysław Frankowski,"DF,MF",Lens,2833,5,3,8,2,3,3,4,0,4.2,1.8,6.8,8.6,51.0,237.0
Ryan Fraser,FW,Newcastle Utd,313,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8.0,23.0
Davide Frattesi,MF,Sassuolo,2873,7,0,7,7,0,0,4,0,7.8,7.8,1.9,9.7,73.0,94.0
Oscar Fraulo,"FW,MF",M'Gladbach,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Fred,MF,Manchester Utd,1249,2,2,4,2,0,0,6,0,2.0,2.0,2.9,4.9,10.0,50.0
Ryan Fredericks,DF,Bournemouth,533,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,13.0,28.0
Iván Fresneda,DF,Valladolid,1743,0,0,0,0,0,0,3,0,0.6,0.6,1.5,2.1,48.0,101.0
Remo Freuler,MF,Nott'ham Forest,2161,0,0,0,0,0,0,4,0,0.4,0.4,0.8,1.2,7.0,11.0
Michael Frey,FW,Schalke 04,868,0,3,3,0,0,0,2,0,1.7,1.7,1.8,3.5,10.0,65.0
Marco Friedl,DF,Werder Bremen,2594,0,0,0,0,0,0,8,1,0.5,0.5,0.4,1.0,14.0,11.0
Marvin Friedrich,DF,M'Gladbach,1248,1,0,1,1,0,0,2,0,0.9,0.9,0.5,1.3,3.0,6.0
Jeremie Frimpong,"DF,MF",Leverkusen,2708,8,7,15,8,0,0,4,0,7.6,7.6,6.2,13.8,155.0,250.0
Chris Führich,"FW,MF",Stuttgart,1884,5,2,7,4,1,1,2,0,3.6,2.9,4.8,7.6,93.0,142.0
Niclas Füllkrug,FW,Werder Bremen,2477,16,5,21,11,5,5,4,0,12.8,8.6,3.6,12.2,41.0,200.0
