Player,Pos,Squad,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgR
Salih Özcan,MF,Dortmund,1576,0,1,1,0,0,0,6,0,0.6,0.6,0.5,1.1,6.0,23.0
Cenk Özkacar,DF,Valencia,1365,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,23.0,2.0
David Ozoh,FW,Crystal Palace,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Levin Öztunalı,MF,Union Berlin,9,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1.0,0.0
Jon Pacheco,DF,Real Sociedad,1193,0,1,1,0,0,0,2,0,0.1,0.1,0.1,0.2,18.0,0.0
Gonçalo Paciência,"FW,MF",Celta Vigo,662,2,0,2,2,0,0,2,1,1.9,1.9,0.6,2.5,7.0,43.0
Simone Pafundi,"MF,FW",Udinese,85,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3.0,9.0
Exequiel Palacios,MF,Leverkusen,1654,4,2,6,1,3,3,4,0,3.0,0.6,1.3,1.9,12.0,27.0
Helibelton Palacios,DF,Elche,1915,0,0,0,0,0,0,6,0,0.4,0.4,0.7,1.1,25.0,25.0
Ante Palaversa,MF,Troyes,31,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,0.0,0.0
Isaac Palazón Camacho,"FW,MF",Rayo Vallecano,2965,9,5,14,8,1,3,4,0,7.7,5.3,5.2,10.5,49.0,181.0
João Palhinha,MF,Fulham,3108,3,0,3,3,0,0,14,0,2.9,2.9,0.4,3.3,8.0,18.0
Nicolas Pallois,DF,Nantes,2213,1,0,1,1,0,0,4,1,1.2,1.2,0.4,1.5,8.0,3.0
Cole Palmer,"MF,FW",Manchester City,370,0,1,1,0,0,0,1,0,1.2,1.2,0.6,1.8,29.0,40.0
Erik Palmer-Brown,DF,Troyes,3191,0,0,0,0,0,0,5,0,1.1,1.1,0.4,1.5,6.0,0.0
Emerson Palmieri,DF,West Ham,1320,1,0,1,1,0,0,2,0,0.8,0.8,0.9,1.7,39.0,57.0
Miloš Pantović,MF,Union Berlin,206,1,0,1,1,0,1,1,0,1.4,0.6,0.0,0.6,2.0,4.0
Flavio Paoletti,MF,Sampdoria,284,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7.0,8.0
Antonios Papadopoulos,DF,Dortmund,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
Aitor Paredes,DF,Athletic Club,859,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,4.0,8.0
Kevin Paredes,"FW,MF",Wolfsburg,529,1,3,4,1,0,0,2,0,0.2,0.2,1.7,1.9,24.0,40.0
Daniel Parejo,MF,Villarreal,3285,3,4,7,1,2,4,6,0,4.7,1.3,4.1,5.4,26.0,32.0
Fabiano Parisi,DF,Empoli,2830,2,0,2,2,0,0,10,1,1.8,1.8,2.0,3.8,102.0,68.0
Moises Parra Gutierrez,FW,Getafe,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Raúl Parra,DF,Cádiz,310,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4.0
Thomas Partey,MF,Arsenal,2483,3,0,3,3,0,0,5,0,2.2,2.2,1.5,3.8,34.0,35.0
Marco Pašalić,MF,Dortmund,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0
Mario Pašalić,"MF,FW",Atalanta,1769,5,2,7,5,0,0,3,0,5.7,5.7,2.2,7.9,24.0,83.0
Pascu,"DF,FW",Villarreal,10,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1.0,2.0
Felix Passlack,DF,Dortmund,64,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,1.0,3.0
Javier Pastore,MF,Elche,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0
Patric,DF,Lazio,1413,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,0.0,3.0
Rui Patrício,GK,Roma,3150,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Patterson,"DF,MF",Everton,1279,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,16.0,51.0
Paulinho,FW,Leverkusen,82,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,3.0,8.0
Gabriel Paulista,DF,Valencia,1504,1,0,1,1,0,0,4,2,0.7,0.7,0.3,0.9,12.0,1.0
Benjamin Pavard,DF,Bayern Munich,2431,4,1,5,4,0,0,6,0,2.5,2.5,2.4,5.0,37.0,65.0
Jiří Pavlenka,GK,Werder Bremen,2908,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Dimitri Payet,"MF,FW",Marseille,835,4,3,7,3,1,1,0,0,3.0,2.2,3.5,5.7,22.0,84.0
Ben Pearson,MF,Bournemouth,286,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.0,4.0
Kristian Pedersen,DF,Köln,276,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6.0,3.0
Mads Pedersen,"DF,MF",Augsburg,1838,0,0,0,0,0,0,6,0,0.4,0.4,0.9,1.3,35.0,51.0
Alfonso Pedraza,DF,Villarreal,1633,0,3,3,0,0,0,5,0,1.2,1.2,2.0,3.2,68.0,145.0
Pedri,MF,Barcelona,1976,6,1,7,6,0,0,2,0,4.9,4.9,5.0,9.9,67.0,99.0
Pedro,FW,Lazio,1898,4,3,7,4,0,0,1,0,3.4,3.4,2.6,6.1,64.0,144.0
Adrià Pedrosa,"DF,MF",Espanyol,229,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.7,7.0,21.0
Jordan Pefok,FW,Union Berlin,1358,4,4,8,4,0,2,3,0,4.5,2.9,1.8,4.7,4.0,53.0
Gianluca Pegolo,GK,Sassuolo,180,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dženan Pejčinović,FW,Wolfsburg,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Peter Pekarík,DF,Hertha BSC,206,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0
Pietro Pellegri,FW,Torino,465,2,0,2,2,0,0,3,0,1.5,1.5,0.5,2.0,4.0,50.0
Lorenzo Pellegrini,MF,Roma,2545,4,5,9,2,2,3,5,0,8.0,5.7,6.9,12.5,58.0,113.0
Théo Pellenard,DF,Auxerre,99,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Facundo Pellistri,"FW,MF",Manchester Utd,64,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
Timothee Pembele,DF,Paris S-G,263,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,4.0,20.0
Iñaki Peña,GK,Barcelona,73,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Rubén Peña,"DF,MF",Osasuna,1277,0,1,1,0,0,0,2,1,1.2,1.2,1.0,2.2,32.0,59.0
Patrick Pentz,GK,Reims,630,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas Pépé,"FW,MF",Nice,1495,6,0,6,3,3,3,2,0,8.1,5.8,2.6,8.3,48.0,151.0
Ricardo Pepi,FW,Augsburg,95,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2.0,4.0
Pepín,MF,Monza,1123,0,2,2,0,0,0,4,0,0.5,0.5,1.5,2.0,19.0,28.0
Alberto Perea,MF,Cádiz,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
Juan Perea,FW,Stuttgart,418,1,0,1,1,0,0,0,0,0.2,0.2,0.7,0.9,9.0,29.0
Andreas Pereira,MF,Fulham,2692,4,6,10,3,1,1,8,0,7.3,6.5,5.2,11.7,53.0,133.0
Brayann Pereira,DF,Auxerre,180,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,8.0
Danilo Pereira,"DF,MF",Paris S-G,2410,2,0,2,2,0,0,3,0,2.3,2.3,0.5,2.8,26.0,11.0
Mathias Pereira Lage,"MF,FW",Brest,1264,2,1,3,2,0,0,2,0,1.4,1.4,1.6,3.0,20.0,98.0
Ricardo Pereira,"DF,MF",Leicester City,454,1,1,2,1,0,0,2,0,0.1,0.1,0.6,0.7,5.0,14.0
Roberto Pereyra,"DF,MF",Udinese,2820,5,7,12,5,0,1,7,0,4.7,3.9,5.5,9.5,66.0,186.0
Carles Pérez,"MF,FW",Celta Vigo,2144,3,5,8,3,0,0,5,0,2.7,2.7,2.0,4.7,93.0,185.0
Francisco Perez,"FW,MF",Valencia,141,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,7.0,15.0
Kike Pérez,MF,Valladolid,2307,1,2,3,1,0,0,9,0,2.3,2.3,2.2,4.5,54.0,82.0
Lucas Pérez,FW,Cádiz,628,3,0,3,3,0,0,3,0,2.0,2.0,0.6,2.5,8.0,24.0
Luis Pérez,DF,Valladolid,1213,0,1,1,0,0,0,2,0,0.1,0.1,0.9,1.0,24.0,84.0
Nehuén Pérez,DF,Udinese,2818,2,0,2,2,0,0,7,1,1.0,1.0,0.5,1.5,23.0,26.0
Simone Perilli,GK,Hellas Verona,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Mattia Perin,GK,Juventus,948,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Samuele Perisan,GK,Empoli,630,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Perišić,"DF,MF",Tottenham,2108,1,8,9,1,0,0,6,0,2.6,2.6,6.1,8.8,87.0,181.0
Romain Perraud,DF,Southampton,1835,2,2,4,2,0,0,4,0,1.3,1.3,1.9,3.2,33.0,122.0
