Player,Fls,Fld,Recov,aerWon,aerLost
Donny van de Beek,4,2,3,3,3
Asmir Begović,0,0,0,1,0
Yanis Begraoui,0,0,3,0,0
Kevin Behrens,35,26,43,176,145
Alexis Beka Beka,11,7,44,3,4
Jérémie Bela,7,17,29,2,0
Reda Belahyane,5,1,23,0,0
Youcef Belaïli,25,24,75,7,9
Youcef Belaïli,11,8,19,2,1
Haris Belkebla,33,50,197,20,30
Stefan Bell,47,11,191,103,65
Armel Bella Kotchap,9,33,145,40,28
Raoul Bellanova,4,9,25,3,3
Karim Bellarabi,2,0,4,0,0
Jean-Ricner Bellegarde,36,73,157,20,30
Héctor Bellerín,2,0,10,3,0
Jude Bellingham,41,73,198,34,33
Jeanuël Belocian,6,1,28,7,2
Andrea Belotti,21,36,24,36,61
Fran Beltrán,26,16,196,18,48
Eliesse Ben Seghir,17,34,49,9,16
Salim Ben Seghir,0,0,2,0,0
Wissam Ben Yedder,18,21,58,15,27
Marco Benassi,1,1,10,3,2
Marco Benassi,10,6,71,5,15
Iker Benito,2,2,14,1,4
Ismaël Bennacer,36,25,186,22,22
Saïd Benrahma,16,15,113,5,11
Ramy Bensebaini,25,44,174,68,41
Nabil Bentaleb,39,54,231,29,18
Rodrigo Bentancur,24,8,128,15,16
Daniel Bentley,0,1,1,0,1
Karim Benzema,10,6,35,14,13
Domenico Berardi,33,49,84,13,21
Yuri Berchiche,31,33,173,51,26
Álex Berenguer,48,25,114,35,42
Bartosz Bereszyński,13,10,68,18,11
Bartosz Bereszyński,2,2,14,2,1
Patrick Berg,1,0,1,0,0
Mitchell van Bergen,10,7,56,5,8
Mergim Berisha,28,31,47,39,64
Quentin Bernard,6,3,39,3,8
Paul Bernardoni,1,2,17,6,1
Juan Bernat,7,8,86,6,10
Victor Bernth Kristiansen,17,9,53,9,15
Jason Berthomier,0,0,2,0,1
Marco Bertini,0,0,0,0,0
Beto,36,26,31,70,64
Owen Bevan,0,0,1,0,0
Matteo Bianchetti,18,10,137,63,40
Alessandro Bianco,7,4,8,2,2
Giulian Biancone,0,0,5,2,0
Ermin Bičakčić,1,1,10,9,11
Pedro Bigas,17,16,123,42,19
Jaka Bijol,29,7,144,87,47
El Bilal Touré,25,7,46,44,46
El Bilal Touré,3,1,3,3,6
Philip Billing,30,35,146,52,35
Jean-Claude Billong,0,0,3,2,2
Cristiano Biraghi,29,38,137,19,25
Samuele Birindelli,15,14,69,6,9
Veljko Birmančević,5,8,25,3,12
Tom Bischof,9,5,16,2,5
Yves Bissouma,17,10,68,6,12
Kristijan Bistrović,2,4,15,2,5
Leonardo Bittencourt,43,40,115,11,21
Marco Bizot,0,4,29,5,1
Lautaro Blanco,7,2,49,0,8
Rubén Blanco,0,1,7,1,0
Ludovic Blas,59,62,169,18,34
Janis Blaswich,1,3,46,11,0
Miha Blažič,12,16,113,44,19
Joaquín Blázquez,0,0,0,0,0
Alexis Blin,47,31,133,55,69
Daley Blind,1,0,7,2,1
Myron Boadu,7,3,11,11,9
Jérôme Boateng,1,0,18,7,1
Kevin-Prince Boateng,23,8,27,19,16
Antonin Bobichon,0,0,2,0,1
Jean-Paul Boëtius,14,26,76,5,16
Jeremie Boga,4,17,34,5,4
Emil Bohinen,15,13,78,12,15
Quentin Boisgard,3,1,9,2,0
Willy Boly,5,5,40,15,9
Giacomo Bonaventura,24,40,140,14,22
Federico Bonazzoli,18,32,37,6,15
Warren Bondo,2,3,4,1,0
Theo Bongonda,15,37,96,14,13
Kevin Bonifazi,6,1,61,8,17
Leonardo Bonucci,11,5,48,20,23
Neto Borges,21,46,186,36,23
Yvandro Borges Sanches,1,0,3,0,0
Sebastiaan Bornauw,24,9,112,51,37
Rafael Borré,23,11,45,25,41
Erik Botheim,12,11,32,20,28
Sven Botman,15,12,182,75,40
Kenji-Van Boto,2,4,8,1,2
Kouamé Botué,5,6,13,10,17
Badredine Bouanani,9,21,43,1,7
Hicham Boudaoui,31,36,152,9,12
Franci Bouebari,2,0,0,1,1
Sofiane Boufal,20,20,36,1,9
Yassine Bounou,0,1,34,4,2
Ismaëlben Boura,0,3,9,1,2
Mehdi Bourabia,33,18,192,21,32
Benjamin Bourigeaud,35,14,176,10,32
Edoardo Bove,24,23,80,14,12
Jarrod Bowen,26,69,152,34,68
Lucas Boyé,61,45,104,49,57
Jayden Braaf,8,1,13,0,5
Domagoj Bradarić,17,20,154,14,25
Bilal Brahimi,3,8,31,2,4
Martin Braithwaite,20,42,58,48,59
Juan Brandáriz,10,3,87,11,12
Julian Brandt,9,21,138,9,24
Darko Brašanac,16,14,50,15,15
Lilian Brassier,42,16,201,61,37
