Player,Cmp,Att,Cmp%,TotDist,PrgDist,KP,pass1/3,PPA,CrsPA,PrgP
Samuele Vignato,30,36,83.3,452,45,2,0,1,1,1
Tonny Vilhena,662,864,76.6,10869,3264,19,64,14,6,80
Toni Villa,20,32,62.5,258,109,1,2,0,0,4
Toni Villa,257,335,76.7,3626,1168,14,21,8,5,38
Asier Villalibre,11,18,61.1,163,39,2,1,1,0,2
Gonzalo Villar,317,381,83.2,5395,1357,0,25,1,0,26
Gonzalo Villar,205,258,79.5,3259,927,3,26,5,1,27
Iván Villar,414,599,69.1,11814,8420,1,6,0,0,1
Matías Viña,140,185,75.7,2103,870,2,10,4,0,17
Matías Viña,22,30,73.3,392,68,1,3,0,0,2
Rúben Vinagre,15,24,62.5,223,26,0,2,0,0,0
Carlos Vinícius,119,189,63.0,1470,387,7,12,5,1,15
Alan Virginius,58,75,77.3,823,192,1,6,3,0,10
Mattia Viti,303,360,84.2,5043,1569,0,14,0,0,19
Vitinha,77,109,70.6,1023,231,3,7,2,0,9
Vitinha,1786,1945,91.8,26148,5772,27,170,24,1,137
Daniel Vivian,1165,1442,80.8,25085,9283,6,118,3,0,124
Dušan Vlahović,271,381,71.1,4560,793,21,23,12,1,40
Nikola Vlašić,775,981,79.0,10928,2475,63,70,26,8,106
Joel Voelkerling Persson,24,39,61.5,241,67,1,0,1,0,3
Kevin Vogt,1033,1201,86.0,22146,9878,4,88,13,2,104
Mërgim Vojvoda,887,1143,77.6,15034,6134,23,97,27,5,125
Kevin Volland,112,200,56.0,1719,722,14,14,8,0,31
Cristian Volpato,83,105,79.0,1507,407,4,9,5,2,18
Lukáš Vorlický,19,31,61.3,271,44,0,1,1,0,3
Aster Vranckx,96,127,75.6,1492,379,1,7,2,1,4
Aster Vranckx,2,3,66.7,32,10,0,0,0,0,0
Stefan de Vrij,1078,1206,89.4,19552,5861,1,42,0,0,55
Robert Wagner,7,15,46.7,99,35,0,0,0,0,0
Elye Wahi,299,440,68.0,3580,635,22,17,6,0,25
Walace,1482,1771,83.7,27539,8344,17,153,12,3,170
Theo Walcott,180,262,68.7,2284,516,15,7,7,2,14
Luca Waldschmidt,117,153,76.5,1524,260,1,9,2,0,12
Kyle Walker,1661,1892,87.8,29177,8283,6,189,10,4,162
Kyle Walker-Peters,1019,1324,77.0,14866,5809,15,71,28,9,97
Sebastian Walukiewicz,345,396,87.1,6702,2311,1,13,1,0,13
Aaron Wan-Bissaka,706,840,84.0,9538,3292,15,48,10,2,55
Paul Wanner,7,9,77.8,86,27,1,0,1,0,1
Danny Ward,708,945,74.9,16865,10488,0,7,0,0,0
Joel Ward,921,1223,75.3,14816,6577,9,80,11,6,101
James Ward-Prowse,1716,2176,78.9,28997,8717,74,177,31,16,189
Ollie Watkins,391,566,69.1,4682,840,31,23,16,2,39
Timothy Weah,824,1003,82.2,13165,3454,16,53,25,10,79
Adam Webster,1514,1715,88.3,27890,10260,6,120,5,1,119
Wout Weghorst,151,207,72.9,1773,457,14,8,1,0,17
Julian Weigl,1072,1203,89.1,19320,5266,6,66,5,0,82
Nelson Weiper,27,40,67.5,339,47,2,0,1,1,1
Mitchell Weiser,960,1341,71.6,15772,6811,40,91,48,17,120
Noah Weißhaupt,111,162,68.5,1810,410,8,9,6,2,14
Shon Weissman,70,91,76.9,749,113,3,3,0,0,4
Danny Welbeck,373,442,84.4,4456,872,30,32,15,0,49
Marcel Wenig,9,10,90.0,120,11,0,0,0,0,0
Axel Werner,52,70,74.3,1421,813,0,1,0,0,0
Timo Werner,505,685,73.7,7147,1425,20,38,19,2,51
Ben White,1888,2242,84.2,31271,10700,26,226,42,12,249
Harvey White,3,8,37.5,54,21,0,0,1,1,0
Joseph Whitworth,61,83,73.5,1486,886,0,0,0,0,0
Silvan Widmer,597,873,68.4,9838,4441,15,43,17,5,54
Mateusz Wieteska,1344,1631,82.4,25000,10745,3,80,5,0,99
Georginio Wijnaldum,169,204,82.8,2254,502,8,9,6,2,18
Iñaki Williams,531,827,64.2,7395,1648,38,24,27,9,61
Neco Williams,533,840,63.5,9565,3461,15,29,14,9,33
Nico Williams,634,951,66.7,9342,2394,46,24,36,12,80
Willian,712,912,78.1,12115,2563,51,41,30,1,113
Joe Willock,777,951,81.7,12123,3082,39,91,34,8,121
Callum Wilson,160,242,66.1,1996,339,23,10,7,0,19
Harry Wilson,310,404,76.7,4943,1086,12,20,13,1,37
Patrick Wimmer,334,549,60.8,5267,1842,37,23,30,8,64
Jonas Wind,247,371,66.6,3189,901,14,37,11,0,41
Harry Winks,792,961,82.4,14868,5159,15,80,10,3,117
Frederik Winther,22,35,62.9,456,203,1,1,1,0,1
Florian Wirtz,473,634,74.6,7333,2166,39,43,26,3,80
Przemysław Wiśniewski,417,502,83.1,8258,2784,3,22,3,0,24
Yoane Wissa,238,344,69.2,3147,601,13,21,8,0,27
Axel Witsel,1229,1328,92.5,19963,6886,4,84,1,0,82
Maximilian Wöber,483,684,70.6,9430,4157,6,63,3,2,54
Hannes Wolf,146,179,81.6,1927,322,6,8,2,0,13
Marius Wolf,834,1061,78.6,13553,4900,22,60,29,14,91
Jeong Woo-yeong,192,244,78.7,2797,705,6,13,6,3,19
Chris Wood,66,106,62.3,786,149,3,3,1,0,4
Chris Wood,43,71,60.6,581,139,3,5,2,0,7
Christopher Wooh,569,618,92.1,12081,3249,1,24,0,0,38
Christopher Wooh,2,2,100.0,38,7,0,0,0,0,0
Joe Worrall,891,1157,77.0,18605,7188,5,75,6,0,67
Xeka,279,312,89.4,5221,1409,0,32,2,0,39
Granit Xhaka,1382,1632,84.7,22642,5919,47,148,40,4,196
Lamine Yamal,8,9,88.9,112,47,0,0,2,0,2
Jawad El Yamiq,745,919,81.1,14945,5590,5,48,2,0,55
Ryan Yates,455,592,76.9,7587,1812,7,26,4,1,43
Yusuf Yazıcı,73,96,76.0,1236,449,8,9,6,1,17
Kelvin Yeboah,28,59,47.5,461,166,5,4,3,1,6
Gerard Yepes,77,105,73.3,1205,271,1,5,0,0,7
Darlin Yongwa,264,331,79.8,3562,1191,9,11,16,3,24
Leny Yoro,514,565,91.0,9564,2895,1,11,0,0,15
Maya Yoshida,1071,1407,76.1,23423,8479,4,70,10,1,85
Ashley Young,897,1188,75.5,16006,6166,14,82,18,5,107
Mohamed Youssouf,932,1279,72.9,14905,7094,15,83,24,17,91
Illia Zabarnyi,184,200,92.0,3523,1083,0,13,0,0,11
Mattia Zaccagni,841,1047,80.3,10898,2314,35,44,27,5,76
Dan-Axel Zagadou,841,985,85.4,17357,6453,9,45,1,0,44
Wilfried Zaha,502,650,77.2,7047,1594,26,18,41,3,75
Warren Zaire-Emery,571,624,91.5,7791,1610,6,37,5,0,32
Denis Zakaria,158,179,88.3,2222,571,1,8,0,0,6
Denis Zakaria,32,38,84.2,469,119,0,2,0,0,3
Rodrigo Zalazar,253,429,59.0,5131,1977,35,20,18,7,34
Joseba Zaldúa,190,277,68.6,3001,1133,2,11,2,2,13
Nicola Zalewski,933,1252,74.5,16262,5001,12,58,24,6,85
Andre-Frank Zambo Anguissa,1988,2261,87.9,28244,6636,33,185,25,0,181
Oliver Zandén,47,71,66.2,768,319,2,6,2,1,6
Luca Zanimacchia,213,312,68.3,3230,932,14,12,12,2,26
Nicolò Zaniolo,125,196,63.8,2173,488,8,10,7,1,19
Alessandro Zanoli,535,700,76.4,8772,2740,14,19,13,7,36
Alessandro Zanoli,9,11,81.8,125,20,0,0,0,0,0
Mattia Zanotti,6,8,75.0,72,31,1,1,0,0,1
Duván Zapata,281,412,68.2,4370,805,17,19,14,4,40
Davide Zappacosta,771,925,83.4,10806,3422,15,38,14,9,55
Oier Zarraga,294,379,77.6,4675,1201,12,36,9,4,37
Akim Zedadka,543,707,76.8,8466,2865,14,35,15,9,51
Akim Zedadka,185,222,83.3,3038,815,5,8,7,1,15
Karim Zedadka,11,16,68.8,181,15,0,1,0,0,0
Deyovaisio Zeefuik,5,7,71.4,83,14,0,0,0,0,0
Marvin Zeegelaar,153,187,81.8,2535,860,4,6,3,1,9
Mehdi Zeffane,201,273,73.6,3443,1009,9,14,7,3,18
Aaron Zehnter,0,2,0.0,0,0,0,0,0,0,0
Jordan Zemura,423,594,71.2,6117,3247,18,32,12,5,45
Arber Zeneli,302,430,70.2,4497,1514,22,24,19,1,51
Robin Zentner,532,868,61.3,17507,13349,1,26,1,0,6
Alessio Zerbin,56,78,71.8,721,132,0,3,1,0,6
Michael Zetterer,43,61,70.5,1523,1206,0,2,0,0,0
Nathan Zeze,18,26,69.2,325,104,0,1,0,0,0
Edon Zhegrova,464,604,76.8,6909,2273,30,23,33,8,52
Piotr Zieliński,1300,1552,83.8,18650,5534,84,122,45,7,128
David Zima,154,197,78.2,2708,743,2,6,3,0,12
Oleksandr Zinchenko,1652,1911,86.4,27023,7899,19,201,41,4,227
Joshua Zirkzee,198,257,77.0,2526,434,16,12,6,0,17
Hakim Ziyech,258,400,64.5,4222,1570,14,20,19,7,42
Jeroen Zoet,75,133,56.4,2316,1996,0,6,0,0,0
Simon Zoller,208,332,62.7,3203,725,9,16,4,0,21
Nadir Zortea,60,98,61.2,937,602,3,3,3,1,9
Nadir Zortea,310,410,75.6,4912,1981,7,23,9,4,38
Tanguy Zoukrou,191,221,86.4,3192,1172,1,7,0,0,11
Kurt Zouma,701,831,84.4,13480,4437,1,19,2,0,31
Petar Zovko,22,36,61.1,683,458,0,1,0,0,0
Igor Zubeldia,1329,1557,85.4,26531,9705,3,79,8,1,128
Martín Zubimendi,1545,1812,85.3,26783,8092,20,175,23,1,184
Szymon Żurkowski,17,19,89.5,298,21,1,1,1,0,1
Szymon Żurkowski,70,101,69.3,984,273,0,9,1,0,10
Martin Ødegaard,1449,1804,80.3,22540,6014,76,135,91,4,266
Milan Đurić,268,523,51.2,3119,740,21,27,5,0,29
Filip Đuričić,586,758,77.3,9599,2169,34,50,18,4,77
Blanco,,,,,,,,,,
Hugo Guillamón,,,,,,,,,,
