Player,Cmp,Att,Cmp%,TotDist,PrgDist,KP,pass1/3,PPA,CrsPA,PrgP
Cafú,2,2,100.0,45,41,0,1,0,0,1
Moisés Caicedo,1993,2251,88.5,30177,8036,43,181,35,7,219
Tom Cairney,632,750,84.3,10133,2428,12,70,19,5,92
Jens Cajuste,606,739,82.0,11081,3065,16,66,15,0,109
Cala,30,38,78.9,792,274,0,0,0,0,2
Davide Calabria,1040,1276,81.5,17672,5902,19,71,19,12,108
Mattia Caldara,461,600,76.8,8308,3214,1,23,1,0,35
Luca Caldirola,1262,1435,87.9,22342,8287,4,55,4,1,63
Fernando Calero,617,765,80.7,11710,4547,4,58,3,0,64
Duje Ćaleta-Car,480,568,84.5,9398,3504,1,26,0,0,33
Duje Ćaleta-Car,2,2,100.0,46,16,0,0,0,0,0
Hakan Çalhanoğlu,1396,1677,83.2,25576,7831,70,149,37,11,172
Kerim Calhanoglu,30,42,71.4,574,388,3,0,2,1,3
Daniel Caligiuri,107,166,64.5,1897,934,4,10,4,0,16
Alexander Callens,78,93,83.9,1206,505,0,5,1,0,6
Dominic Calvert-Lewin,131,221,59.3,1575,318,9,13,4,0,15
Mahdi Camara,578,703,82.2,8665,2082,9,53,7,1,80
Mohamed Camara,252,323,78.0,4178,844,3,27,3,1,30
Mohamed Camara,1119,1284,87.1,21268,5952,18,121,15,2,135
Ousmane Camara,7,8,87.5,157,60,1,1,1,1,2
Ousmane Camara,330,363,90.9,6431,2134,0,12,0,0,16
Eduardo Camavinga,1364,1504,90.7,21221,5654,24,138,17,1,165
Nicolò Cambiaghi,321,432,74.3,4556,930,15,19,18,5,42
Andrea Cambiaso,1277,1521,84.0,19674,6031,28,48,24,7,83
Axel Camblan,19,27,70.4,196,46,2,0,0,0,4
Sergio Camello,408,523,78.0,5782,733,28,15,13,0,42
Chem Campbell,23,32,71.9,344,64,0,2,0,0,4
Emre Can,1153,1288,89.5,20793,5986,20,111,7,1,99
Sergio Canales,1116,1474,75.7,16689,4491,56,94,51,14,143
Matteo Cancellieri,61,87,70.1,757,98,3,1,1,1,2
João Cancelo,1036,1220,84.9,16674,4147,12,80,36,9,106
João Cancelo,713,861,82.8,11505,3272,13,55,21,6,61
Antonio Candreva,1165,1597,72.9,19672,6882,57,98,55,30,135
Thomas Cannon,4,5,80.0,37,0,1,0,0,0,0
Sergi Canós,23,43,53.5,268,76,1,2,1,0,2
Ander Capa,74,91,81.3,1275,441,1,5,2,1,12
Pierrick Capelle,590,714,82.6,10044,2766,13,58,7,5,66
Étienne Capoue,915,1043,87.7,14387,3476,10,115,8,1,98
Gianluca Caprari,853,1082,78.8,13026,2612,29,56,30,4,92
Francesco Caputo,168,237,70.9,2130,315,9,11,4,0,11
Francesco Caputo,235,332,70.8,2741,539,20,9,3,0,21
Maxence Caqueret,1480,1785,82.9,23941,7380,60,196,29,8,183
Andrea Carboni,69,87,79.3,1170,558,1,3,2,2,9
Franco Carboni,33,50,66.0,529,140,1,3,2,1,2
Valentin Carboni,12,17,70.6,192,12,1,0,0,0,1
Isaac Carcelen,747,961,77.7,12672,4769,16,65,17,12,85
Irvin Cardona,34,58,58.6,468,79,3,2,0,0,4
Irvin Cardona,36,74,48.6,452,108,3,4,1,0,3
Igor Carioca,224,274,81.8,3429,1228,2,17,5,1,22
Diego Carlos,112,142,78.9,2338,881,1,9,1,0,11
Juan Carlos,288,340,84.7,7160,4635,0,1,0,0,0
José Carlos Lazo,3,4,75.0,49,2,0,0,0,0,0
José Carlos Lazo,25,35,71.4,335,55,2,0,3,1,4
Carmona,129,186,69.4,1917,729,4,6,2,0,10
Carmona,269,330,81.5,4412,1380,2,24,3,2,11
Marco Carnesecchi,565,954,59.2,18072,14248,2,33,1,0,0
Yannick Carrasco,863,1091,79.1,11833,3379,47,35,36,7,84
Dani Carvajal,1133,1333,85.0,18356,4041,22,57,21,8,58
Fabio Carvalho,117,143,81.8,1555,281,1,7,2,0,12
Matis Carvalho,21,53,39.6,924,794,0,1,0,0,0
William Carvalho,1510,1745,86.5,24743,7482,22,170,23,1,203
Nicolò Casale,1485,1616,91.9,26275,9500,4,55,1,0,70
Casemiro,1114,1439,77.4,19801,7351,28,136,23,4,152
Casemiro,7,8,87.5,134,50,0,1,0,0,0
Matty Cash,777,1006,77.2,13672,4595,8,57,15,9,75
Tommaso Cassandro,6,6,100.0,125,104,0,1,1,0,0
Timothy Castagne,1470,1836,80.1,21125,8419,22,89,20,10,106
Michele Castagnetti,624,807,77.3,10942,4257,26,95,16,3,120
Koen Casteels,1220,1585,77.0,36421,25230,1,40,0,0,2
Valentín Castellanos,244,397,61.5,3345,704,15,17,16,1,34
Jean-Charles Castelletto,1130,1373,82.3,21032,8232,5,103,9,4,120
Samu Castillejo,474,622,76.2,7687,2158,30,49,21,6,76
Jonny Castro,701,832,84.3,11101,3638,5,60,10,2,70
Gaetano Castrovilli,188,241,78.0,2876,559,8,10,4,1,14
Danilo Cataldi,1147,1325,86.6,17538,6173,16,99,9,0,83
Catena,1505,1825,82.5,36676,15330,7,134,3,0,119
Yoann Cathline,241,361,66.8,3681,1269,6,14,13,6,29
Maximiliano Caufriez,996,1126,88.5,17670,6475,0,67,4,0,92
Edinson Cavani,263,354,74.3,4029,556,12,14,4,0,20
Dani Ceballos,1362,1504,90.6,21362,6610,30,198,18,1,204
Pietro Ceccaroni,10,14,71.4,187,78,1,0,0,0,0
Federico Ceccherini,479,623,76.9,8667,3491,5,43,7,2,53
Assan Ceesay,226,394,57.4,2930,366,8,13,5,1,16
Emil Ceide,123,169,72.8,1571,499,8,7,9,1,19
Zeki Çelik,697,927,75.2,11222,4779,16,55,24,7,67
Álex Centelles,412,577,71.4,7029,2965,13,32,9,6,35
Fabien Centonze,715,945,75.7,11285,4732,12,59,21,12,102
Michele Cerofolini,148,195,75.9,3964,2708,0,1,0,0,0
Franco Cervi,620,874,70.9,9395,3007,27,49,26,9,69
Julian Chabot,975,1184,82.3,18978,6050,4,45,0,0,52
Florian Chabrolle,120,138,87.0,1822,345,0,7,2,0,14
El Chadaille Bitshiabu,430,465,92.5,7453,2477,1,26,1,0,23
Fares Chaïbi,742,1018,72.9,11489,3144,30,68,27,5,101
Nathaniel Chalobah,4,5,80.0,67,9,0,1,0,0,0
Trevoh Chalobah,1051,1200,87.6,18603,5316,4,64,3,1,71
Muhammed Cham,813,1038,78.3,12971,3167,31,62,35,3,106
Calum Chambers,157,207,75.8,2924,1310,2,9,2,1,16
Timothy Chandler,36,61,59.0,770,554,1,7,0,0,7
Gaëtan Charbonnier,79,89,88.8,1359,298,3,5,5,0,11
Brendan Chardonnet,1060,1318,80.4,23796,9346,8,96,11,3,80
Shea Charles,23,25,92.0,456,106,0,3,0,0,1
Xavier Chavalerin,875,1068,81.9,14453,4866,22,77,12,5,95
Pep Chavarría,126,178,70.8,1933,743,11,7,8,2,19
Ivane Chegra,21,40,52.5,447,232,1,5,1,0,7
Pape Cheikh Diop,14,19,73.7,222,71,0,1,0,0,1
Rayan Cherki,844,1094,77.1,13798,3601,66,71,60,4,144
Ilyes Cheti,102,118,86.4,1692,467,1,6,1,1,4
Lucas Chevalier,779,1010,77.1,17580,12052,2,19,0,0,0
Fabio Chiarodia,15,22,68.2,335,140,0,3,0,0,4
Federico Chiesa,246,338,72.8,3806,1114,20,25,15,6,34
Ben Chilwell,762,977,78.0,10963,3238,21,42,10,7,41
Vlad Chiricheș,344,410,83.9,6776,3146,1,17,0,0,18
Pedro Chirivella,1163,1360,85.5,21412,6260,24,182,12,1,172
Joris Chotard,867,1092,79.4,15720,5467,27,89,19,3,105
Andreas Christensen,1416,1507,94.0,25804,8685,6,114,4,0,91
Oliver Christensen,777,1218,63.8,23464,18548,0,13,0,0,2
Ryan Christie,521,651,80.0,8356,2028,30,43,19,2,71
Carney Chukwuemeka,179,203,88.2,2291,502,8,11,7,2,23
Samuel Chukwueze,697,908,76.8,10572,2312,44,35,45,7,85
Darko Churlinov,0,0,,0,0,0,0,0,0,0
Víctor Chust,364,440,82.7,8016,2967,1,22,1,0,22
Tolga Ciğerci,326,420,77.6,5350,1484,5,23,2,1,32
Yanis Cimignani,75,113,66.4,1245,267,3,1,2,2,0
Daniel Ciofani,120,195,61.5,1690,427,10,13,4,0,10
Tio Cipot,40,59,67.8,522,155,3,2,2,1,5
Pathé Ciss,575,700,82.1,11074,3062,6,63,4,0,65
Souleymane Cissé,8,11,72.7,128,9,0,0,0,0,0
Patrick Ciurria,1061,1335,79.5,16691,5156,36,67,31,14,91
Bobby Clark,1,1,100.0,29,17,0,0,1,0,1
Alexis Claude-Maurice,20,25,80.0,260,33,1,1,1,0,2
Alexis Claude-Maurice,201,240,83.8,2708,541,7,16,7,0,25
Jonathan Clauss,1091,1461,74.7,17647,6285,49,90,54,23,121
Carlos Clerc,1040,1397,74.4,16100,6659,16,78,18,9,107
Nathaniel Clyne,654,832,78.6,10205,3887,7,51,6,5,52
Conor Coady,1025,1209,84.8,21731,8337,4,73,3,1,43
Nicolò Cocetta,11,12,91.7,170,57,0,0,0,0,0
Marcus Coco,175,244,71.7,2841,897,10,15,8,5,26
Alexandre Coeff,287,353,81.3,6143,2229,1,19,1,0,26
Jack Colback,119,143,83.2,1936,446,2,12,3,1,16
Séamus Coleman,597,789,75.7,9624,3826,4,35,18,7,61
David Čolina,41,71,57.7,644,293,2,3,2,1,6
Álex Collado,276,336,82.1,4177,909,20,25,10,2,34
Diego Collado,5,7,71.4,111,15,0,0,0,0,1
Omar Colley,615,714,86.1,12155,4062,0,38,1,0,33
Nathan Collins,1001,1138,88.0,20045,6918,2,68,2,0,64
Lorenzo Colombo,208,332,62.7,2639,568,17,14,6,2,21
Andrea Colpani,319,409,78.0,5412,1268,17,28,14,2,51
Levi Colwill,1027,1165,88.2,17912,7475,7,78,3,0,70
Kingsley Coman,640,806,79.4,10106,2128,42,26,44,17,70
Eray Cömert,815,945,86.2,17301,5980,3,48,2,0,54
Santi Comesaña,1024,1240,82.6,16598,5032,41,136,17,2,150
Andrea Consigli,1130,1427,79.2,31355,20598,0,16,0,0,1
Abdu Conté,591,754,78.4,10401,3886,14,41,14,6,56
Andrea Conti,6,11,54.5,76,25,0,0,0,0,1
Lewis Cook,593,751,79.0,9922,3136,24,55,14,9,63
Steve Cook,369,459,80.4,7884,2511,3,18,2,1,19
Liam Cooper,620,789,78.6,11491,4568,5,49,1,1,47
Copete,668,880,75.9,13455,5746,3,61,4,1,58
Diego Coppola,403,557,72.4,7562,3275,0,30,3,1,42
Francis Coquelin,265,311,85.2,3778,803,6,19,3,1,29
Sébastien Corchia,257,371,69.3,4354,1895,5,18,7,5,29
Alex Cordaz,11,20,55.0,274,200,0,0,0,0,0
Maxwel Cornet,72,97,74.2,942,166,1,3,1,1,5
Jesús Corona,33,42,78.6,446,40,3,1,2,0,3
