Player,SCA,gcaPassLive,gcaTO,gcaSh,gcaFld,gcaDef
Julius Beck,1,1,0,0,0,0
Sheraldo Becker,90,74,6,4,6,0
Jan Bednarek,7,5,0,1,0,0
Jan Bednarek,0,0,0,0,0,0
Donny van de Beek,6,6,0,0,0,0
Asmir Begović,0,0,0,0,0,0
Yanis Begraoui,2,2,0,0,0,0
Kevin Behrens,49,39,4,0,5,1
Alexis Beka Beka,9,5,0,0,3,0
Jérémie Bela,10,7,1,1,1,0
Reda Belahyane,2,2,0,0,0,0
Youcef Belaïli,47,24,4,4,6,0
Youcef Belaïli,15,8,0,0,1,0
Haris Belkebla,39,33,0,0,4,2
Stefan Bell,17,16,0,1,0,0
Armel Bella Kotchap,14,7,1,3,2,1
Raoul Bellanova,7,3,0,1,1,0
Karim Bellarabi,4,4,0,0,0,0
Jean-Ricner Bellegarde,102,65,4,1,10,0
Héctor Bellerín,5,5,0,0,0,0
Jude Bellingham,125,89,16,8,10,2
Jeanuël Belocian,3,3,0,0,0,0
Andrea Belotti,27,22,0,3,2,0
Fran Beltrán,66,53,0,1,0,2
Eliesse Ben Seghir,29,23,2,1,3,0
Salim Ben Seghir,0,0,0,0,0,0
Wissam Ben Yedder,56,36,5,7,5,2
Marco Benassi,1,1,0,0,0,0
Marco Benassi,19,9,1,2,0,1
Iker Benito,5,4,0,0,0,1
Ismaël Bennacer,87,59,1,3,4,2
Saïd Benrahma,92,68,11,8,3,0
Ramy Bensebaini,37,25,3,5,1,0
Nabil Bentaleb,72,42,6,1,3,2
Rodrigo Bentancur,34,27,1,2,1,3
Daniel Bentley,0,0,0,0,0,0
Karim Benzema,102,86,6,7,2,0
Domenico Berardi,105,78,5,5,6,1
Yuri Berchiche,59,47,2,3,1,0
Álex Berenguer,98,48,9,5,4,3
Bartosz Bereszyński,8,6,0,1,0,1
Bartosz Bereszyński,2,2,0,0,0,0
Patrick Berg,2,2,0,0,0,0
Mitchell van Bergen,34,25,2,3,1,1
Mergim Berisha,34,13,3,3,1,1
Quentin Bernard,11,10,0,0,0,0
Paul Bernardoni,1,1,0,0,0,0
Juan Bernat,37,35,2,0,0,0
Victor Bernth Kristiansen,14,9,0,1,0,0
Jason Berthomier,0,0,0,0,0,0
Marco Bertini,0,0,0,0,0,0
Beto,49,31,8,5,5,0
Owen Bevan,0,0,0,0,0,0
Matteo Bianchetti,16,11,0,1,0,0
Alessandro Bianco,4,3,0,0,1,0
Giulian Biancone,1,1,0,0,0,0
Ermin Bičakčić,1,0,0,1,0,0
Pedro Bigas,14,9,1,2,1,1
Jaka Bijol,21,17,0,4,0,0
El Bilal Touré,36,26,2,4,3,0
El Bilal Touré,2,2,0,0,0,0
Philip Billing,54,41,5,5,1,0
Jean-Claude Billong,0,0,0,0,0,0
Cristiano Biraghi,132,59,1,3,0,1
Samuele Birindelli,35,30,2,2,1,0
Veljko Birmančević,15,8,0,3,4,0
Tom Bischof,7,5,0,0,2,0
Yves Bissouma,29,24,1,1,1,2
Kristijan Bistrović,10,3,0,0,0,0
Leonardo Bittencourt,40,25,2,1,8,3
Marco Bizot,5,4,0,0,0,0
Lautaro Blanco,23,17,3,0,0,1
Rubén Blanco,1,1,0,0,0,0
Ludovic Blas,122,75,16,9,3,0
Janis Blaswich,0,0,0,0,0,0
Miha Blažič,5,5,0,0,0,0
Joaquín Blázquez,0,0,0,0,0,0
Alexis Blin,42,34,0,4,2,0
Daley Blind,4,4,0,0,0,0
Myron Boadu,7,7,0,0,0,0
Jérôme Boateng,2,2,0,0,0,0
Kevin-Prince Boateng,9,8,0,0,0,0
Antonin Bobichon,2,2,0,0,0,0
Jean-Paul Boëtius,24,18,1,1,2,1
Jeremie Boga,57,33,7,1,2,1
Emil Bohinen,17,15,0,1,0,0
Quentin Boisgard,9,9,0,0,0,0
Willy Boly,5,5,0,0,0,0
Giacomo Bonaventura,78,51,5,7,8,1
Federico Bonazzoli,26,20,1,3,2,0
Warren Bondo,3,1,0,0,2,0
Theo Bongonda,45,27,4,4,6,1
Kevin Bonifazi,9,9,0,0,0,0
Leonardo Bonucci,9,7,0,1,0,1
Neto Borges,77,67,3,2,3,0
Yvandro Borges Sanches,2,0,1,0,0,1
Sebastiaan Bornauw,7,7,0,0,0,0
Rafael Borré,32,24,3,2,0,2
Erik Botheim,17,12,0,2,1,2
Sven Botman,24,18,0,5,0,0
