Player,Weekly Wages
Abdul Mumin,5791.0
Pere Milla,5625.0
Jaume Costa,5460.0
Monchu,4963.0
Tete Morente,4798.0
Vinicius Souza,4632.0
Luca de la Torre,4467.0
Yan Couto,4302.0
Renato Tapia,4302.0
Lee Kang-in,4136.0
Gorka Guruzeta,4136.0
Copete,3474.0
Gerard Gumbau,3474.0
Pedro Bigas,3474.0
Nico Ribaudo,3474.0
Fran Garcia,3309.0
Iglesias,2978.0
Samu Costa,2978.0
Gabriel Veiga,2978.0
Sergio Akieme,2813.0
Alejandro Balde,2647.0
Enzo Roco,2564.0
Helibelton Palacios,2564.0
Josan,2564.0
Largie Ramazani,2564.0
Santiago Bueno,2482.0
Alex Sandro,183809.0
Romelu Lukaku,180334.0
Gleison Bremer,153201.0
Juan Cuadrado,153201.0
Adrien Rabiot,148404.0
Ciro Immobile,122594.0
Paulo Dybala,116473.0
Stefan de Vrij,116473.0
Gianluca Mancini,107208.0
Lorenzo Pellegrini,107208.0
Stephan El Shaarawy,107208.0
Tammy Abraham,95461.0
Alessio Romagnoli,91987.0
Leonardo Spinazzola,91987.0
Manuel Locatelli,91987.0
Domenico Berardi,91987.0
Victor Osimhen,90167.0
Alessandro Bastoni,85866.0
Divock Origi,84873.0
Hirving Lozano,84873.0
Chris Smalling,80571.0
Henrikh Mkhitaryan,80571.0
Luis Alberto,76601.0
Federico Fazio,76601.0
Robin Gosens,76601.0
Sandro Tonali,76601.0
Kim Min-jae,76601.0
Fikayo Tomori,74284.0
Olivier Giroud,74284.0
Andrea Belotti,73457.0
Andrea Pinamonti,73457.0
Giovanni Di Lorenzo,73457.0
Matteo Darmian,67832.0
Matteo Politano,67336.0
Aaron Ramsey,63696.0
Moise Kean,63696.0
Stefano Sensi,61214.0
Elseid Hysaj,61214.0
Mattia Zaccagni,61214.0
Merih Demiral,61214.0
Davide Calabria,61214.0
Andre-Frank Zambo Anguissa,57244.0
Andrea Petagna,55093.0
Bryan Cristante,55093.0
Pedro,53108.0
Denzel Dumfries,53108.0
Simone Verdi,52115.0
Armando Izzo,52115.0
Manuel Lazzari,52115.0
Antonio Sanabria,48972.0
Rolando Mandragora,48972.0
Federico Dimarco,48972.0
Felipe Anderson,46655.0
Charles De Ketelaere,46655.0
Aleksei Miranchuk,45994.0
Giacomo Bonaventura,45994.0
Francesco Acerbi,45994.0
Mattia De Sciglio,45994.0
Karol Linetty,42850.0
Danilo Cataldi,42850.0
Marlon,42354.0
Pierre Kalulu,42354.0
Alfred Duncan,39872.0
Sebastiano Luperto,39872.0
Antonio Candreva,39872.0
Ademola Lookman,38218.0
Luis Muriel,38218.0
Amir Rrahmani,38218.0
Cristiano Biraghi,36729.0
Federico Bonazzoli,36729.0
Juan Jesus,36729.0
Arthur Cabral,36067.0
Jonathan Ikone,36067.0
Roberto Soriano,33916.0
Stanislav Lobotka,33916.0
Riccardo Orsolini,33751.0
Valentino Lazaro,31765.0
Gary Medel,31765.0
Sofyan Amrabat,31765.0
Teun Koopmeiners,31765.0
Roger Ibanez,31765.0
Elif Elmas,31765.0
Samuele Ricci,30607.0
Andrea Cambiaso,30607.0
Kevin Bonifazi,30607.0
Marten de Roon,30607.0
Junior Messias,30607.0
Federico Gatti,30607.0
Perr Schuurs,29615.0
Boulaye Dia,29615.0
Omar Colley,29118.0
Gianluca Caprari,27629.0
Dimitris Nikolaou,27629.0
Davide Zappacosta,27629.0
Alberto Grassi,27629.0
Ardian Ismajli,27629.0
Nicolas Haas,27629.0
Khvicha Kvaratskhelia,25478.0
Musa Barrow,24486.0
Matteo Pessina,24486.0
Albin Ekdal,24486.0
Berat Djimsiti,24486.0
Hans Hateboer,24486.0
Liam Henderson,24486.0
Jeison Murillo,23328.0
Manolo Gabbiadini,23328.0
Adama Soumaoro,22997.0
Federico Di Francesco,22997.0
Kevin Lasagna,21508.0
Emmanuel Gyasi,21508.0
Davide Frattesi,21508.0
Gerard Deulofeu,21177.0
Roberto Pereyra,21177.0
Riccardo Saponara,21177.0
Alexis Saelemaekers,21177.0
Assan Ceesay,21177.0
Luca Caldirola,20846.0
Patrick Ciurria,20846.0
Nikola Moro,20515.0
Harry Winks,20019.0
Mattia Caldara,19853.0
Arkadiusz Reca,19026.0
Cyriel Dessers,19026.0
Dylan Bronn,19026.0
Giangiacomo Magnani,18364.0
Mehdi Bourabia,18364.0
Filippo Bandinelli,18364.0
Gian Marco Ferrari,18364.0
Caleb Okoli,17206.0
Enzo Ebosse,17041.0
Jaka Bijol,17041.0
Walace,17041.0
Thomas Henry,17041.0
M'Bala Nzola,16875.0
Antonino Gallo,15883.0
Davide Faraoni,15386.0
Federico Ceccherini,15386.0
Miguel Veloso,15386.0
Charalambos Lykogiannis,15386.0
Daniel Ciofani,15386.0
Jean-Daniel Akpa-Akpro,15386.0
Isaac Success,14890.0
Igor,14890.0
Jeremy Toljan,14890.0
Samuele Birindelli,13732.0
Salvatore Esposito,13732.0
Tolgay Arslan,12739.0
Isak Hien,12739.0
Charles Pickel,12739.0
David Okereke,12739.0
Kristian Thorstvedt,12739.0
Maxime Lopez,12739.0
Lorenzo Venuti,12243.0
Daniele Verde,12243.0
Kevin Agudelo,12243.0
Cristian Buonaiuto,12243.0
Tonny Vilhena,12243.0
Kelvin Amian,11747.0
Martin Satriano,10754.0
Giuseppe Pezzella,10754.0
Adrien Tameze,10588.0
Josh Doig,10588.0
Jerdy Schouten,10588.0
Michel Aebischer,10588.0
Luka Lochoshvili,10588.0
Tyronne Ebuehi,10588.0
Alexis Blin,10588.0
Lameck Banda,10588.0
Carlos Augusto,10423.0
Matteo Bianchetti,10092.0
Matheus Henrique,9430.0
Giorgio Scalvini,9265.0
Frank Tsadjout,9265.0
Michele Castagnetti,9265.0
Tommaso Baldanzi,9265.0
Lorenzo Pirola,9265.0
Nicola Zalewski,9265.0
Fabio Miretti,9265.0
Federico Baschirotto,9265.0
Lorenzo Colombo,9265.0
Lazar Samardzic,8438.0
Lewis Ferguson,8438.0
Lassana Coulibaly,8438.0
Ruan,8107.0
Koffi Djidji,7776.0
Diego Coppola,7610.0
Tommaso Augello,7610.0
Gabriel Strefezza,7610.0
Ethan Ampadu,7445.0
Dany Mota,7280.0
Alessandro Buongiorno,6783.0
Emanuel Aiwum,6287.0
Edoardo Bove,6121.0
Morten Hjulmand,6121.0
Pasquale Mazzocchi,4963.0
Destiny Udogie,4632.0
Martin Erlic,4632.0
Wilfried Singo,4302.0
Emil Holm,4302.0
Beto,3143.0
Simone Bastoni,3143.0
Emanuele Valeri,3143.0
Fabiano Parisi,3143.0
Grigoris Kastanos,3143.0
Andrea Colpani,2813.0
Leonardo Sernicola,2482.0
Valentin Gendrey,1985.0
Abdelhamid Sabiri,1820.0
