Player,Sh,SoT,SoT%,Dist,FK
Adrien Thomasson,17,5,29.4,12.1,0
Adrien Thomasson,21,9,42.9,14.5,0
Morten Thorsby,9,3,33.3,13.7,0
Kristian Thorstvedt,20,8,40.0,16.4,0
Khéphren Thuram,38,9,23.7,18.4,0
Marcus Thuram,92,44,47.8,12.7,0
Alexis Tibidi,0,0,,,0
Youri Tielemans,29,8,27.6,27.7,1
Kieran Tierney,7,2,28.6,23.1,0
Steffen Tigges,35,11,31.4,12.3,0
Jean-Clair Todibo,14,4,28.6,13.4,0
Harry Toffolo,6,2,33.3,17.6,0
Umut Tohumcu,4,0,0.0,26.2,0
Karl Toko Ekambi,22,7,31.8,13.4,0
Karl Toko Ekambi,41,19,46.3,14.7,0
Corentin Tolisso,30,9,30.0,23.0,0
Jeremy Toljan,5,0,0.0,18.1,0
Rafael Tolói,29,9,31.0,13.2,0
Raúl de Tomás,41,14,34.1,20.6,1
Tiago Tomás,34,13,38.2,19.1,0
Takehiro Tomiyasu,3,0,0.0,12.1,0
James Tomkins,3,2,66.7,12.7,0
Fikayo Tomori,9,4,44.4,14.1,0
Sandro Tonali,32,14,43.8,22.2,6
Lorenzo Tonelli,0,0,,,0
Ivan Toney,87,33,37.9,16.5,9
Pablo Torre,1,0,0.0,25.9,0
David Torres,1,0,0.0,4.8,0
Ferrán Torres,37,11,29.7,15.6,1
Óliver Torres,22,7,31.8,17.1,0
Pau Torres,12,5,41.7,9.5,0
Roberto Torres,0,0,,,0
Lucas Torró,28,4,14.3,24.9,0
Nabil Touaizi,0,0,,,0
Almamy Touré,3,1,33.3,14.0,0
Birama Touré,25,7,28.0,26.1,0
Mohamed Toure,0,0,,,0
Souleymane Touré,0,0,,,0
Souleymane Touré,8,2,25.0,8.0,0
Lucas Tousart,43,16,37.2,16.7,0
Yoann Touzghar,3,0,0.0,11.1,0
Adama Traoré,19,7,36.8,15.0,0
Bertrand Traoré,9,3,33.3,16.4,0
Boubacar Traoré,3,0,0.0,29.3,0
Charles Traore,0,0,,,0
Hamari Traoré,30,9,30.0,15.5,0
Kevin Trapp,0,0,,,0
Mark Travers,0,0,,,0
Óscar Trejo,23,6,26.1,18.6,0
Manu Trigueros,8,2,25.0,24.4,1
Christopher Trimmel,14,3,21.4,17.8,1
Théo Trinker,0,0,,,0
Kieran Trippier,14,4,28.6,27.1,12
William Troost-Ekong,2,1,50.0,9.0,0
Leandro Trossard,17,5,29.4,17.5,0
Leandro Trossard,38,17,44.7,15.0,0
Adrien Truffert,10,3,30.0,21.3,0
Frank Tsadjout,26,10,38.5,17.3,0
Kostas Tsimikas,7,2,28.6,15.5,0
Theocharis Tsingaras,0,0,,,0
Viktor Tsyhankov,19,9,47.4,18.0,0
Alessandro Tuia,2,1,50.0,11.6,0
Martin Turk,0,0,,,0
Beñat Turrientes,0,0,,,0
Tuta,17,3,17.6,17.0,0
Destiny Udogie,27,7,25.9,13.7,0
Ike Ugbo,15,5,33.3,16.2,1
Lesley Ugochukwu,6,1,16.7,18.4,0
Samir Ujkani,0,0,,,0
Sven Ulreich,0,0,,,0
Lauren Ulrich,0,0,,,0
Samuel Umtiti,12,0,0.0,16.4,0
Enes Ünal,82,31,37.8,18.8,16
Deniz Undav,27,12,44.4,13.8,0
Cengiz Ünder,70,23,32.9,17.1,2
Dayot Upamecano,7,1,14.3,9.0,0
Filip Uremović,9,3,33.3,12.7,0
Oscar Ureña,1,1,100.0,16.9,0
Jere Uronen,1,0,0.0,29.8,0
Jere Uronen,4,0,0.0,33.0,0
Mark Uth,1,1,100.0,13.2,0
Josha Vagnoman,25,5,20.0,13.9,0
Diego Valencia,1,1,100.0,10.0,0
Óscar Valentín,13,1,7.7,23.6,0
Emanuele Valeri,40,6,15.0,21.5,3
Yan Valery,0,0,,,0
Yan Valery,13,2,15.4,21.0,0
Martin Valjent,6,2,33.3,21.1,0
Jesús Vallejo,1,1,100.0,5.7,0
Manu Vallejo,1,1,100.0,12.6,0
Mattia Valoti,2,1,50.0,9.0,0
Federico Valverde,63,21,33.3,22.7,2
Virgil van Dijk,30,9,30.0,12.8,0
Vanderson,26,8,30.8,19.5,0
Raphaël Varane,8,4,50.0,11.6,0
Jamie Vardy,27,13,48.1,12.3,0
Ruben Vargas,21,6,28.6,20.4,1
Johan Vásquez,12,1,8.3,12.3,0
Jesus Vazquez,6,1,16.7,21.0,0
Kevin Vázquez,0,0,,,0
Lucas Vázquez,14,7,50.0,18.5,0
Matías Vecino,26,5,19.2,18.5,0
Gabriel Veiga,62,29,46.8,19.8,0
Renato Veiga,8,0,0.0,26.6,1
Miloš Veljković,4,2,50.0,8.7,0
Miguel Veloso,16,2,12.5,23.3,2
Joël Veltman,15,5,33.3,16.3,0
Micky van de Ven,16,1,6.3,17.5,0
Unai Vencedor Paris,3,1,33.3,16.3,0
Lorenzo Venuti,7,4,57.1,22.1,0
Daniele Verde,32,10,31.3,21.6,1
Simone Verdi,29,10,34.5,20.9,6
Gonzalo Verdú,9,2,22.2,12.2,1
Jordan Veretout,30,9,30.0,20.5,1
Marco Verratti,8,4,50.0,17.8,0
Valerio Verre,14,3,21.4,25.3,0
Mikel Vesga,25,3,12.0,21.9,0
Guglielmo Vicario,0,0,,,0
João Victor,2,0,0.0,15.7,0
Aleix Vidal,3,2,66.7,17.4,0
Clément Vidal,12,2,16.7,10.8,0
Nacho Vidal,9,2,22.2,19.8,0
Gabriel Vidovic,0,0,,,0
Fabio Vieira,15,2,13.3,20.1,0
Ronaldo Vieira,0,0,,,0
Ronaldo Vieira,5,1,20.0,23.8,0
Emanuel Vignato,1,1,100.0,14.0,0
Emanuel Vignato,2,1,50.0,19.7,0
Samuele Vignato,1,0,0.0,21.9,0
Tonny Vilhena,31,9,29.0,26.0,1
Toni Villa,0,0,,,0
Toni Villa,17,3,17.6,22.4,0
Asier Villalibre,4,1,25.0,11.6,0
Gonzalo Villar,1,0,0.0,26.1,0
Gonzalo Villar,3,1,33.3,19.7,0
Iván Villar,0,0,,,0
Matías Viña,9,6,66.7,18.6,0
Matías Viña,0,0,,,0
Rúben Vinagre,0,0,,,0
Carlos Vinícius,21,12,57.1,11.9,0
Alan Virginius,12,5,41.7,14.4,0
Mattia Viti,2,1,50.0,7.8,0
Vitinha,25,9,36.0,12.6,0
Vitinha,31,11,35.5,20.5,0
Daniel Vivian,13,2,15.4,12.7,0
Dušan Vlahović,65,20,30.8,15.5,4
Nikola Vlašić,53,21,39.6,18.0,1
Joel Voelkerling Persson,1,0,0.0,13.1,0
Kevin Vogt,0,0,,,0
Mërgim Vojvoda,23,6,26.1,17.3,0
Kevin Volland,15,7,46.7,15.6,0
Cristian Volpato,4,1,25.0,15.7,0
Lukáš Vorlický,1,1,100.0,24.1,0
Aster Vranckx,2,0,0.0,29.4,0
Aster Vranckx,0,0,,,0
Stefan de Vrij,20,6,30.0,9.0,0
Robert Wagner,2,0,0.0,17.2,0
Elye Wahi,62,36,58.1,14.5,1
Walace,32,6,18.8,26.4,0
Theo Walcott,20,7,35.0,16.9,0
Luca Waldschmidt,10,5,50.0,14.2,0
Kyle Walker,5,1,20.0,24.8,0
Kyle Walker-Peters,13,5,38.5,18.1,0
Sebastian Walukiewicz,2,1,50.0,7.2,0
Aaron Wan-Bissaka,10,2,20.0,14.7,0
Paul Wanner,0,0,,,0
Danny Ward,0,0,,,0
Joel Ward,8,2,25.0,16.5,0
James Ward-Prowse,40,16,40.0,27.1,17
Ollie Watkins,84,45,53.6,12.6,0
Timothy Weah,30,11,36.7,21.6,0
Adam Webster,18,2,11.1,11.2,0
Wout Weghorst,14,5,35.7,12.5,0
Julian Weigl,7,0,0.0,16.7,0
Nelson Weiper,5,4,80.0,7.3,0
Mitchell Weiser,28,8,28.6,17.9,0
Noah Weißhaupt,2,1,50.0,14.4,0
Shon Weissman,18,7,38.9,12.8,0
Danny Welbeck,62,22,35.5,14.1,1
Marcel Wenig,0,0,,,0
Axel Werner,0,0,,,0
Timo Werner,61,24,39.3,15.0,0
Ben White,10,2,20.0,16.7,0
Harvey White,0,0,,,0
Joseph Whitworth,0,0,,,0
Silvan Widmer,19,6,31.6,10.8,0
Mateusz Wieteska,16,5,31.3,8.6,0
Georginio Wijnaldum,20,4,20.0,15.2,0
Iñaki Williams,83,32,38.6,15.1,0
Neco Williams,25,7,28.0,21.2,2
Nico Williams,61,20,32.8,17.7,1
Willian,41,17,41.5,18.8,3
Joe Willock,58,16,27.6,16.9,0
Callum Wilson,70,31,44.3,12.4,0
Harry Wilson,18,4,22.2,16.0,1
Patrick Wimmer,31,14,45.2,13.9,0
Jonas Wind,29,10,34.5,13.4,0
Harry Winks,14,0,0.0,24.7,0
Frederik Winther,0,0,,,0
Florian Wirtz,7,4,57.1,18.6,0
Przemysław Wiśniewski,6,3,50.0,9.8,0
Yoane Wissa,32,15,46.9,14.1,0
Axel Witsel,9,0,0.0,15.0,0
Maximilian Wöber,9,2,22.2,13.3,1
Hannes Wolf,8,3,37.5,13.8,0
Marius Wolf,23,6,26.1,19.4,0
Jeong Woo-yeong,13,4,30.8,16.6,0
Chris Wood,8,3,37.5,14.7,0
Chris Wood,3,1,33.3,8.2,0
Christopher Wooh,5,0,0.0,8.9,0
Christopher Wooh,0,0,,,0
Joe Worrall,7,2,28.6,12.2,0
Xeka,5,0,0.0,22.8,0
Granit Xhaka,40,14,35.0,16.6,3
Lamine Yamal,1,1,100.0,10.9,0
Jawad El Yamiq,17,4,23.5,20.2,0
Ryan Yates,26,5,19.2,16.8,0
Yusuf Yazıcı,5,2,40.0,19.0,0
Kelvin Yeboah,13,2,15.4,12.8,0
Gerard Yepes,1,0,0.0,18.7,0
Darlin Yongwa,9,3,33.3,16.9,0
Leny Yoro,2,0,0.0,15.9,0
Maya Yoshida,12,2,16.7,13.9,0
Ashley Young,15,3,20.0,25.1,0
Mohamed Youssouf,5,1,20.0,18.7,0
Illia Zabarnyi,0,0,,,0
Mattia Zaccagni,56,23,41.1,16.7,1
Dan-Axel Zagadou,13,3,23.1,11.1,0
Wilfried Zaha,64,21,32.8,16.8,0
Warren Zaire-Emery,9,4,44.4,17.1,0
Denis Zakaria,2,0,0.0,16.9,0
Denis Zakaria,0,0,,,0
Rodrigo Zalazar,38,13,34.2,21.6,10
Joseba Zaldúa,1,0,0.0,32.7,0
Nicola Zalewski,29,9,31.0,23.1,1
Andre-Frank Zambo Anguissa,50,15,30.0,18.1,1
Oliver Zandén,2,1,50.0,17.6,0
Luca Zanimacchia,19,4,21.1,19.9,2
Nicolò Zaniolo,28,7,25.0,17.2,0
Alessandro Zanoli,15,7,46.7,13.8,0
Alessandro Zanoli,1,1,100.0,13.0,0
Mattia Zanotti,0,0,,,0
Duván Zapata,41,8,19.5,15.6,0
Davide Zappacosta,25,10,40.0,16.6,0
Oier Zarraga,18,5,27.8,24.6,0
Akim Zedadka,9,0,0.0,19.6,0
Akim Zedadka,3,1,33.3,15.3,0
Karim Zedadka,0,0,,,0
Deyovaisio Zeefuik,0,0,,,0
Marvin Zeegelaar,3,1,33.3,11.7,0
Mehdi Zeffane,8,2,25.0,20.1,0
Aaron Zehnter,0,0,,,0
Jordan Zemura,4,0,0.0,12.9,0
Arber Zeneli,31,6,19.4,20.8,5
Robin Zentner,0,0,,,0
Alessio Zerbin,5,3,60.0,19.1,0
Michael Zetterer,0,0,,,0
Nathan Zeze,0,0,,,0
Edon Zhegrova,42,14,33.3,18.4,1
Piotr Zieliński,53,19,35.8,22.4,6
David Zima,4,2,50.0,12.0,0
Oleksandr Zinchenko,28,7,25.0,22.7,0
Joshua Zirkzee,29,8,27.6,16.3,0
Hakim Ziyech,16,3,18.8,22.7,0
Jeroen Zoet,0,0,,,0
Simon Zoller,30,9,30.0,12.6,0
Nadir Zortea,4,3,75.0,20.4,0
Nadir Zortea,5,2,40.0,23.8,0
Tanguy Zoukrou,0,0,,,0
Kurt Zouma,19,5,26.3,10.1,0
Petar Zovko,0,0,,,0
Igor Zubeldia,6,1,16.7,14.5,0
Martín Zubimendi,13,2,15.4,19.7,0
Szymon Żurkowski,2,1,50.0,15.2,0
Szymon Żurkowski,7,1,14.3,23.5,0
Martin Ødegaard,93,31,33.3,19.2,9
Milan Đurić,16,5,31.3,10.7,0
Filip Đuričić,26,12,46.2,18.3,1
Blanco,0,0,,,
Hugo Guillamón,4,2,50.0,,
