Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ,Carries,CPA,Rec,PrgR
Sergio Arribas,13,1,1,6,6,1,0,0,4,0,8,0
Kepa Arrizabalaga,1119,892,1103,16,0,0,1,1,654,0,604,0
Roberto Arroyo,7,0,1,3,3,1,1,1,8,1,8,4
Tolgay Arslan,770,13,145,398,234,26,36,15,473,11,504,37
Ricard Artero,68,2,14,36,20,6,4,3,45,0,54,9
Santiago Arzamendia,290,23,90,135,70,5,6,2,140,2,142,22
Takuma Asano,556,12,65,213,289,80,35,13,343,16,391,119
Santiago Ascacíbar,553,26,177,280,100,4,9,4,254,0,314,6
Sergio Asenjo,384,327,384,0,0,0,0,0,198,0,153,0
Marco Asensio,951,11,66,375,517,71,33,23,609,11,725,108
Kristoffer Askildsen,351,17,68,190,97,8,6,3,131,2,176,17
Fisnik Asllani,95,3,8,36,53,16,3,1,56,3,75,19
Kristjan Asllani,507,8,115,309,87,2,5,2,331,1,389,6
Iago Aspas,1487,26,111,643,748,145,56,22,1030,30,1199,239
Lorenz Assignon,200,15,51,110,42,6,5,1,122,2,105,13
Youcef Atal,632,22,149,295,202,18,43,19,443,8,402,63
Valentin Atangana Edoa,76,5,21,32,24,8,5,0,50,2,45,6
Pierre-Emerick Aubameyang,161,7,16,69,79,23,5,3,86,4,116,29
Pierre-Emerick Aubameyang,4,0,1,2,1,1,0,0,2,0,2,0
Emil Audero,982,811,968,17,0,0,0,0,548,0,414,0
Tommaso Augello,1981,88,615,856,544,21,64,36,1042,5,1167,153
Ludwig Augustinsson,51,3,19,15,17,2,1,0,29,0,21,3
Ludwig Augustinsson,80,6,28,32,20,2,0,0,39,0,39,6
Carlos Augusto,2073,111,676,917,498,71,61,33,1032,15,1267,151
Serge Aurier,1238,107,484,505,263,13,32,16,520,2,574,50
Mathias Autret,722,24,123,366,239,24,25,10,512,3,471,58
Ezequiel Ávila,739,18,83,275,383,61,34,17,422,6,509,96
Cédric Avinel,876,119,508,369,5,2,1,0,576,0,508,1
Taiwo Awoniyi,435,22,62,177,203,55,22,7,246,9,284,55
Yasin Ayari,30,0,5,18,8,1,1,0,19,0,25,2
Mehmet Aydin,380,24,128,165,97,5,14,4,166,2,158,21
André Ayew,106,11,15,49,42,8,6,1,40,2,62,16
Jordan Ayew,1327,46,192,611,560,98,149,65,801,31,932,174
Kaan Ayhan,385,54,198,182,6,0,0,0,235,0,264,0
Luke Ayling,1413,79,466,578,390,56,33,13,648,4,700,100
Ayman Azhil,0,0,0,0,0,0,0,0,0,0,0,0
Sardar Azmoun,344,13,43,175,135,48,11,6,167,8,256,45
César Azpilicueta,1245,84,424,510,319,25,13,7,612,0,753,81
Sanoussy Ba,0,0,0,0,0,0,0,0,0,0,0,0
Iddrisu Baba,773,61,253,476,60,8,19,11,413,0,398,8
Srđan Babić,1640,237,976,633,43,16,8,4,891,1,1013,5
Loïc Bade,1030,117,572,431,34,10,9,6,609,0,648,2
Loïc Bade,67,7,35,31,2,2,0,0,51,0,51,0
Édgar Badía,1189,1110,1188,2,0,0,0,0,599,0,401,0
Benoît Badiashile,945,95,469,458,25,11,3,1,630,0,689,2
Benoît Badiashile,568,82,240,324,13,7,1,0,402,1,349,0
Alex Baena,1103,28,152,512,454,66,62,27,752,14,873,110
Jaime Báez,62,3,10,37,16,2,2,1,34,0,34,8
