Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ,Carries,CPA,Rec,PrgR
Hugo Duro,431,11,29,187,217,73,13,2,229,6,319,67
Jean-Kevin Duverne,1775,96,486,887,434,18,65,26,1099,10,979,134
Paulo Dybala,1089,2,85,542,478,78,64,27,689,20,785,109
Edin Džeko,749,30,67,351,341,113,26,8,400,15,587,150
Malcolm Ebiowei,21,0,1,8,12,2,5,2,14,0,15,9
Festy Ebosele,233,16,64,82,97,13,36,19,129,6,125,22
Enzo Ebosse,667,51,292,306,72,0,7,4,338,1,383,20
Tyronne Ebuehi,1089,105,452,437,210,28,26,11,558,5,604,42
Ederson,1302,1049,1295,9,0,0,0,0,869,0,833,0
Éderson,1455,50,339,778,355,46,66,37,842,11,964,62
Odsonne Édouard,672,25,68,317,293,95,46,16,354,21,479,100
Samuel Edozie,278,4,48,86,148,32,37,12,183,13,188,39
Maximilian Eggestein,1098,38,235,598,276,34,16,9,494,2,581,46
Lilian Egloff,113,1,15,40,58,14,5,3,62,3,68,22
Íñigo Eguaras,614,26,174,369,75,3,5,4,354,0,433,7
Kingsley Ehizibue,779,51,267,282,236,31,43,14,400,7,407,69
Kingsley Ehizibue,33,1,12,14,7,0,1,0,15,0,18,3
Julian Eitschberger,2,0,1,0,1,0,0,0,0,0,0,0
Chidera Ejuke,434,2,34,226,196,32,97,47,303,18,308,67
Albin Ekdal,999,49,256,551,208,34,19,12,496,2,566,35
Hugo Ekitike,473,5,32,202,250,63,39,16,353,7,337,84
Emmanuel Ekong,6,0,1,4,2,0,1,0,3,0,3,1
Anthony Elanga,197,4,26,71,100,28,15,5,109,7,139,28
Alberth Elis,81,5,18,32,37,6,11,2,60,3,49,19
Mikael Ellertsson,60,3,11,31,19,0,3,1,21,0,25,4
Harvey Elliott,1194,14,147,566,491,50,42,19,759,10,867,129
Elif Elmas,1196,10,130,582,498,47,52,23,753,13,961,103
Mohamed Elneny,63,2,11,42,11,0,0,0,38,0,49,1
Aritz Elustondo,952,68,360,488,107,14,8,5,470,1,547,19
Nico Elvedi,2492,366,1398,1042,61,27,3,1,1517,1,1748,5
Rodrigo Ely,1857,376,1164,646,54,30,7,5,964,1,1084,4
Mohamed Elyounoussi,952,60,204,399,362,54,48,25,484,12,533,98
Adri Embarba,865,14,125,324,435,42,116,47,508,14,517,115
Adri Embarba,15,2,2,8,6,1,5,3,7,0,6,2
Breel Embolo,708,20,42,299,378,100,73,32,522,13,553,159
Emerson,1323,101,481,505,346,46,31,15,672,6,775,103
Youssef En-Nesyri,439,19,44,186,211,103,23,4,190,14,286,71
Julio Enciso,396,2,22,155,228,49,64,32,241,17,292,74
Wataru Endo,1873,108,507,1013,380,55,55,28,994,5,1217,67
Arne Engels,739,21,158,380,205,5,9,4,322,0,399,25
Christian Eriksen,1644,43,269,914,465,35,17,8,967,3,1220,66
Martin Erlic,1562,199,855,693,21,10,2,1,912,1,964,1
Tjark Ernst,42,38,42,0,0,0,0,0,16,0,11,0
Gonzalo Escalante,352,16,103,199,56,7,5,1,174,0,226,8
Gonzalo Escalante,585,45,161,316,115,24,10,7,251,0,289,12
Sergio Escudero,937,61,320,371,255,16,17,7,363,3,435,37
Alfonso Espino,1994,126,672,871,480,33,52,25,820,7,860,129
Bernardo Espinosa,1047,164,530,496,29,17,4,3,636,1,720,3
Salvatore Esposito,737,21,175,409,156,7,14,6,354,1,466,11
Maxime Estève,944,146,515,408,27,12,6,4,607,0,522,1
Pervis Estupiñán,2211,82,506,1076,649,71,42,19,1292,15,1434,183
Jonny Evans,906,137,474,424,9,2,0,0,529,0,629,0
Edu Expósito,689,28,124,329,242,20,23,11,358,2,428,59
Eberechi Eze,1515,20,212,735,602,84,122,71,889,28,999,129
Kimberly Ezekwem,9,1,3,6,0,0,0,0,5,0,4,2
Nicolás Ezequiel Fernández,314,7,61,123,134,13,12,3,195,4,195,53
Abdessamad Ezzalzouli,813,4,73,287,473,66,117,59,555,45,606,136
Łukasz Fabiański,1005,871,1000,5,0,0,0,0,506,0,350,0
Fabinho,2092,83,456,1314,325,21,15,7,1184,1,1493,39
Fábio,149,10,32,64,53,4,4,1,87,0,80,18
Noah Fadiga,790,39,218,403,175,19,40,18,488,8,423,36
Wout Faes,2177,357,1230,916,44,19,12,9,1262,0,1436,2
Wout Faes,150,38,85,64,2,1,2,1,91,0,76,1
Nicolò Fagioli,749,17,124,411,221,15,19,8,471,5,536,56
Ralf Fährmann,485,397,476,10,0,0,0,0,270,0,221,0
Romain Faivre,688,5,71,342,289,43,88,48,557,17,520,66
Romain Faivre,216,1,15,112,95,6,20,3,160,1,153,16
Radamel Falcao,271,12,21,106,146,38,16,2,150,2,204,53
Wladimiro Falcone,1272,1056,1267,5,0,0,0,0,660,0,432,0
Fali,766,109,380,351,39,15,5,2,392,0,408,10
Fallou Fall,20,6,18,2,0,0,0,0,12,0,11,0
Mamadou Fall,22,2,8,10,4,0,1,0,10,0,8,0
Davide Faraoni,770,55,226,335,213,27,16,7,322,2,341,33
Ansu Fati,805,10,64,278,469,128,47,23,556,31,639,178
Khalil Fayad,438,11,99,274,73,5,16,8,318,1,278,11
Cheikh Faye,15,0,1,9,5,1,1,0,10,0,12,3
Federico Fazio,679,84,318,309,58,17,8,4,347,1,358,4
Jacopo Fazzini,476,20,135,216,132,15,31,13,255,0,292,40
Zouhair Feddal,249,48,162,85,3,2,0,0,124,0,147,0
Nabil Fekir,607,2,37,254,321,43,44,17,406,13,489,76
Felipe,798,163,477,275,59,36,18,14,391,0,386,4
Felipe,149,9,56,90,5,2,2,1,102,0,98,1
Luiz Felipe,1130,182,601,507,23,7,9,5,586,0,664,0
João Félix,497,0,30,223,249,46,60,22,326,9,399,79
João Félix,322,3,23,158,142,21,24,6,211,2,260,42
Ohis Felix Uduokhai,927,100,493,414,27,12,12,5,470,0,486,5
Kiko Femenía,877,41,299,377,211,8,13,6,508,1,570,47
Evan Ferguson,344,10,27,165,155,39,14,8,203,8,256,58
Lewis Ferguson,1472,44,272,794,415,69,25,9,830,7,1129,114
Bruno Fernandes,2408,68,386,966,1078,149,66,32,1385,28,1689,231
Edimilson Fernandes,1485,158,671,666,166,6,25,17,768,3,739,23
Aitor Fernández,846,701,835,11,0,0,0,0,443,0,335,0
Álex Fernández,850,38,174,482,198,25,11,5,482,3,583,26
Álvaro Fernández,382,296,375,7,0,0,0,0,174,0,124,0
Carlos Fernández,231,5,25,92,120,42,20,13,141,4,181,54
Enzo Fernández,1616,45,351,1000,280,9,32,17,1097,1,1257,18
Federico Fernández,30,11,24,5,1,0,0,0,5,0,2,0
Joaquín Fernández,1228,167,672,517,41,17,2,1,672,1,759,3
Valery Fernández,461,20,86,179,199,28,27,13,274,9,305,84
Fernando,1409,1270,1403,6,0,0,1,1,703,0,536,0
Fernando,1025,83,369,532,131,5,5,3,584,0,656,13
Alex Ferrari,560,51,276,265,25,5,6,3,304,0,308,3
Alex Ferrari,604,54,301,268,41,1,8,4,286,0,274,5
Salvador Ferrer,113,12,50,50,13,0,0,0,55,0,71,2
Jordan Ferri,2237,59,542,1401,321,10,55,20,1785,2,1610,42
Fidel,1078,18,178,556,364,43,76,32,746,7,822,90
Karol Fila,46,1,3,19,25,5,0,0,36,2,32,4
Vincenzo Fiorillo,25,20,25,0,0,0,0,0,16,0,13,0
Roberto Firmino,735,3,69,375,295,84,24,13,423,7,565,96
Junior Firpo,792,48,286,368,146,13,15,6,352,1,367,34
Kilian Fischer,327,16,113,137,78,7,6,3,160,2,177,21
Mark Flekken,1550,1234,1536,17,0,0,3,3,942,0,739,0
Florian Flick,244,28,86,135,26,1,2,1,94,0,99,2
Alexis Flips,1331,32,233,590,525,54,42,12,906,3,803,162
Alessandro Florenzi,195,3,42,82,71,10,1,0,103,0,113,19
Phil Foden,1324,20,116,433,790,131,81,40,891,25,1051,275
Seko Fofana,2163,32,242,1237,709,108,109,59,1873,32,1763,233
Wesley Fofana,169,11,68,97,7,3,3,2,116,2,115,1
Wesley Fofana,1013,97,424,509,85,10,13,8,686,1,735,12
Yahia Fofana,353,309,351,2,0,0,1,1,239,1,124,0
Youssouf Fofana,2116,59,352,1340,454,37,91,46,1600,9,1416,71
Thomas Foket,1442,61,368,657,429,35,21,9,965,4,858,154
José Fonte,2205,260,977,1141,95,29,4,3,1667,0,1572,8
Pablo Fornals,917,16,144,424,360,36,23,12,500,12,616,101
Emil Forsberg,672,5,45,332,300,28,29,15,430,3,497,77
Adam Forshaw,293,7,64,171,62,1,11,8,179,0,186,7
Fraser Forster,395,352,392,3,0,0,0,0,203,0,148,0
Philipp Förster,694,12,80,351,271,23,20,6,312,3,387,47
Steven Fortes,3,0,2,1,0,0,0,0,1,0,1,0
Timothy Fosu-Mensah,138,3,34,65,39,3,1,0,42,0,87,8
Dimitri Foulquier,1116,59,306,491,332,20,42,19,557,7,591,84
Juan Foyth,1545,109,516,783,264,21,48,27,778,1,895,18
Raphael Framberger,88,8,32,37,21,0,1,0,26,0,32,3
Tyrese Francois,5,0,1,3,1,0,0,0,1,0,2,1
Bartol Franjić,114,8,35,64,17,3,2,1,51,0,62,1
Przemysław Frankowski,2129,79,428,815,904,57,32,13,1364,10,1242,237
Ryan Fraser,147,1,18,51,80,9,2,1,94,1,107,23
Davide Frattesi,1417,68,280,704,456,109,74,34,809,21,993,94
Oscar Fraulo,16,1,3,9,4,0,1,1,7,0,10,0
Fred,999,38,250,483,279,37,32,12,537,3,614,50
Ryan Fredericks,279,33,88,109,84,7,10,3,120,2,152,28
Iván Fresneda,1163,87,390,497,284,16,42,15,563,7,625,101
Remo Freuler,1058,71,360,537,167,13,12,6,491,0,557,11
Michael Frey,347,1,13,162,177,56,20,5,201,3,280,65
Marco Friedl,2074,218,1052,934,101,7,16,10,1186,0,1242,11
Marvin Friedrich,1094,121,640,426,38,21,2,2,650,0,789,6
Jeremie Frimpong,1621,47,349,670,636,122,165,85,909,46,1009,250
Chris Führich,948,16,131,376,461,69,106,50,575,31,641,142
Angelo Fulgini,600,6,52,280,276,19,32,13,471,5,445,70
Angelo Fulgini,320,6,36,177,110,14,25,8,199,2,228,43
Niclas Füllkrug,1227,31,70,635,534,131,60,31,668,21,1005,200
Matteo Gabbia,427,54,258,163,7,1,0,0,187,1,248,1
Manolo Gabbiadini,885,30,112,389,393,83,25,6,535,10,683,111
Gianluca Gaetano,79,0,3,39,38,8,3,2,53,2,64,9
Roberto Gagliardini,454,21,105,229,125,24,5,0,244,1,315,22
Adolfo Gaich,263,10,21,129,116,26,17,11,144,4,198,33
Cody Gakpo,591,6,42,266,298,76,48,23,374,12,448,109
Javi Galán,2506,87,712,1045,788,35,154,72,1445,19,1492,244
Iñigo Ruiz de Galarreta,1446,32,330,885,247,5,39,19,786,0,911,21
Pablo Galdames Millán,389,18,93,211,89,6,10,2,192,0,229,17
Conor Gallagher,1134,32,198,529,421,59,55,24,700,12,778,104
Antonino Gallo,1509,91,472,646,415,14,29,15,683,5,706,65
Gauthier Gallon,1055,954,1053,2,0,0,0,0,620,1,386,0
Cristian Gamboa,830,62,295,393,147,2,14,6,339,1,415,21
Kévin Gameiro,946,7,71,431,454,102,49,19,723,17,693,158
Idrissa Gana Gueye,1563,77,451,893,237,11,35,19,821,3,845,19
Ignatius Ganago,507,13,53,227,237,80,30,10,342,10,359,101
Ignatius Ganago,17,0,2,13,3,0,1,0,13,0,11,3
Silvère Ganvoula M'Boussy,118,3,5,45,69,18,7,3,51,6,92,19
Aleix García,1867,68,386,1003,490,23,26,13,1041,7,1302,76
Álvaro García,1347,30,208,346,809,118,52,21,785,45,834,293
Borja García,347,8,69,186,92,10,14,6,227,0,253,32
Carlos García,28,2,12,15,1,1,1,1,15,0,17,0
Dani García,868,43,183,560,130,5,2,2,411,0,497,8
David García,1742,198,830,862,53,22,4,4,908,1,1019,4
Eric García,1397,97,538,781,84,5,4,2,918,0,1049,6
Fran Garcia,2441,102,645,1109,728,26,68,31,1351,12,1418,167
Joan García,31,23,30,1,0,0,0,0,20,0,16,0
Raúl García,446,9,32,192,224,68,12,6,230,2,321,62
Rubén García,711,18,100,277,339,26,16,6,385,3,465,92
Unai García,957,89,456,479,32,8,8,5,515,0,572,3
Alejandro Garnacho,305,3,29,84,196,59,44,12,220,28,235,85
James Garner,441,22,97,201,150,9,14,7,216,1,225,18
Felix Garreta,47,7,25,22,0,0,0,0,30,0,30,0
Aleix Garrido,7,0,4,0,3,1,1,0,4,0,3,0
Sékou Gassama,12,1,1,4,7,4,0,0,7,1,8,1
Johan Gastien,2358,80,628,1426,325,6,25,9,1799,1,1646,27
Federico Gatti,1116,100,527,532,71,23,11,8,721,1,806,13
Gavi,1509,27,148,797,578,71,63,27,1002,8,1133,153
Paulo Gazzaniga,1140,981,1133,7,0,0,1,1,667,0,504,0
David de Gea,1302,1116,1297,5,0,0,0,0,781,0,783,0
Dario Gebuhr,13,0,5,6,2,0,0,0,6,0,11,0
Dennis Geiger,1027,36,218,618,202,7,16,9,525,0,582,22
Joe Gelhardt,115,4,10,52,54,14,9,1,68,2,84,21
Valentin Gendrey,1811,106,616,778,436,16,35,14,757,4,787,107
Denis Genreau,435,18,106,208,126,16,23,8,289,2,263,34
Yannick Gerhardt,856,34,161,445,254,55,16,4,468,3,557,88
Valère Germain,313,11,33,147,135,35,2,1,183,2,202,46
Gerson,244,4,31,113,103,11,7,2,199,3,199,29
Ismaël Gharbi,47,1,3,25,20,2,6,5,42,0,39,8
Paolo Ghiglione,359,16,106,135,122,9,11,2,153,1,178,35
Saman Ghoddos,98,7,23,38,40,3,2,0,42,0,44,6
Faouzi Ghoulam,364,27,114,162,89,1,5,3,221,0,218,20
Morgan Gibbs-White,119,1,18,53,49,4,8,2,62,1,82,12
Morgan Gibbs-White,1447,20,169,626,680,76,96,47,764,19,902,157
Niko Gießelmann,889,37,254,322,319,22,14,4,349,0,416,50
Samuel Gigot,1374,159,573,704,107,30,9,4,938,0,855,19
Rafał Gikiewicz,1221,960,1213,10,0,0,0,0,713,0,552,0
Bryan Gil,80,1,13,30,37,2,5,2,55,0,61,15
Bryan Gil,515,10,81,188,254,25,45,19,339,4,337,75
David Gil,144,123,144,0,0,0,0,0,68,0,36,0
Óscar Gil,1334,88,406,570,371,27,49,23,576,5,602,111
Mario Gila,71,6,36,33,2,0,0,0,42,0,46,2
Billy Gilmour,453,15,112,276,71,4,6,2,248,1,350,4
Álvaro Giménez,5,0,0,2,3,0,1,0,3,0,3,2
Gvidas Gineitis,102,1,9,74,19,3,3,1,58,1,75,7
Matthias Ginter,2230,240,1151,993,94,46,4,2,1305,0,1412,11
Andrei Girotto,2260,303,982,1157,131,31,10,3,1474,0,1341,7
Olivier Giroud,801,29,59,348,402,158,14,7,350,7,611,152
Serge Gnabry,1149,7,124,474,565,146,64,28,747,41,880,217
Degnand Gnonto,719,12,95,248,393,43,77,21,484,17,508,136
Ben Godfrey,391,55,159,175,63,8,8,3,162,0,159,7
Pierluigi Gollini,131,116,131,0,0,0,0,0,104,0,91,0
Pierluigi Gollini,166,142,166,0,0,0,0,0,111,0,96,0
Aleksandr Golovin,1382,22,184,574,660,85,49,27,983,28,889,210
André Gomes,1520,37,261,1010,270,17,42,29,1254,4,1172,33
Angel Gomes,2015,29,315,1185,527,49,56,30,1705,10,1645,115
João Gomes,409,19,118,212,80,5,19,8,185,1,223,8
Toti Gomes,688,86,313,278,100,15,16,9,332,0,402,23
Dani Gómez,32,0,4,12,17,4,3,1,20,0,21,9
Joe Gomez,1521,114,602,851,76,6,5,4,1005,0,1040,5
Maxi Gómez,27,2,2,9,16,8,2,0,19,3,21,1
Moi Gómez,1712,23,237,1013,489,23,40,27,1149,7,1247,67
Papu Gómez,637,8,69,313,264,27,36,15,470,6,513,67
Sergi Gómez,1379,188,736,620,33,19,0,0,719,0,827,1
Sergio Gómez,358,16,75,198,87,10,3,0,203,1,274,20
Antonio Gomis,3,3,3,0,0,0,0,0,1,0,0,0
Maxime Gonalons,997,27,259,657,97,3,28,15,742,0,667,3
Diego González,487,79,321,151,17,8,3,1,240,0,265,2
Édgar González,1106,171,637,448,28,17,5,2,601,1,704,2
Giovanni González,506,32,170,228,111,14,16,8,234,3,275,39
Joan Gonzàlez,1080,44,226,570,299,37,49,18,536,6,626,67
Nicolás González,811,8,71,381,372,73,73,25,506,9,623,112
Nicolás González,921,30,164,555,209,19,39,28,528,1,606,17
Oumar Gonzalez,1381,158,682,655,54,26,15,6,898,1,755,5
Roberto González,35,0,0,21,14,1,2,0,17,1,25,1
Jacek Góralski,59,5,22,33,4,0,0,0,25,0,29,0
Anthony Gordon,275,5,30,112,135,27,21,7,169,11,196,45
Anthony Gordon,464,13,87,165,218,47,45,11,252,13,290,67
Leon Goretzka,1272,56,296,678,312,43,17,9,646,6,817,62
Andoni Gorosabel,1205,35,288,589,335,17,19,9,599,1,705,75
Robin Gosens,813,27,194,309,314,48,17,7,417,5,525,102
Mario Götze,1820,19,214,920,704,78,75,25,1043,15,1325,212
Amine Gouiri,99,3,12,35,52,7,3,0,75,2,79,18
Amine Gouiri,1071,12,74,439,576,145,80,33,805,26,784,205
Jeffrey Gouweleeuw,1829,236,1074,673,97,23,19,13,912,0,946,10
Jonathan Gradit,2369,159,749,1452,183,7,26,12,1860,2,1756,9
José Gragera,272,20,117,137,19,6,0,0,122,0,150,3
Alberto Grassi,734,79,261,400,80,13,8,4,302,1,398,10
Ryan Gravenberch,483,12,68,269,155,11,19,11,301,1,344,31
Andrew Gravillon,212,25,121,77,14,0,2,1,112,0,131,0
Andrew Gravillon,566,58,236,260,80,6,12,7,370,1,307,14
Demarai Gray,1181,22,110,441,652,104,92,33,720,48,781,199
Adrian Grbić,11,0,1,3,7,0,0,0,6,0,6,2
Ivo Grbić,361,330,360,1,0,0,0,0,181,0,123,0
Jack Grealish,1308,20,141,421,772,136,110,45,957,63,1065,310
Sam Greenwood,255,7,45,112,103,5,8,3,117,1,119,10
Michael Gregoritsch,793,13,57,313,426,130,38,11,375,15,601,124
Dominik Greif,40,37,40,0,0,0,0,0,16,0,12,0
Leo Greiml,241,36,135,101,5,1,1,1,135,0,143,1
Clément Grenier,432,11,62,240,131,4,7,3,216,1,277,26
Antoine Griezmann,1971,45,247,933,818,153,83,47,1104,25,1445,202
Vincenzo Grifo,1595,31,216,776,619,65,74,42,913,18,1060,124
Lennart Grill,225,163,220,5,0,0,0,0,150,0,128,0
Christian Groß,1067,59,290,672,114,7,23,15,462,2,520,17
Pascal Groß,2602,77,466,1225,924,98,33,17,1453,8,1832,209
Brajan Gruda,8,0,0,2,6,1,2,0,4,0,3,0
Ilia Gruev,956,40,247,616,106,6,10,5,488,0,549,12
Carlos Gruezo,360,27,132,196,37,1,7,5,154,0,144,5
Vicente Guaita,895,785,893,2,0,0,0,0,507,0,383,0
Andrés Guardado,1022,34,277,610,151,6,10,5,590,0,659,13
Sergi Guardiola,191,7,27,91,74,17,7,0,99,2,125,20
Sergi Guardiola,413,8,34,174,208,41,24,12,241,5,303,55
Nemanja Gudelj,1911,206,837,910,169,18,5,3,1103,0,1278,6
Gabriel Gudmundsson,563,26,142,247,180,24,32,18,355,10,323,57
Gonçalo Guedes,280,3,28,105,153,30,15,5,174,7,199,54
Axel Gueguin,13,0,1,1,11,0,0,0,8,0,9,6
Marc Guéhi,2557,369,1415,1078,74,28,21,14,1511,0,1690,3
Mattéo Guendouzi,1441,32,193,817,455,63,29,14,1165,9,1074,100
Javier Guerra,341,12,57,186,103,15,28,14,210,5,218,16
Raphaël Guerreiro,2028,54,433,951,666,68,47,27,1175,18,1340,163
Axel Guessand,32,9,20,12,0,0,0,0,13,0,20,0
Evann Guessand,510,10,73,233,219,48,77,37,381,8,354,97
Ander Guevara,200,2,28,127,49,0,4,3,122,0,147,3
Pape Gueye,699,24,144,422,141,21,23,14,403,2,438,27
Pape Gueye,388,9,72,246,73,7,7,1,297,1,271,13
Josuha Guilavogui,949,100,354,542,55,10,5,3,523,0,577,6
Frederic Guilbert,1065,51,251,571,264,8,35,15,618,1,528,52
Bruno Guimarães,2014,59,392,1076,575,50,92,45,1321,5,1503,42
Serhou Guirassy,13,1,1,3,9,5,0,0,9,0,8,6
Serhou Guirassy,647,17,40,333,278,89,35,14,379,14,525,97
Rafik Guitane,3,1,2,1,0,0,0,0,1,0,0,0
Péter Gulácsi,225,180,225,0,0,0,0,0,142,0,119,0
Manuel Gulde,491,39,209,256,28,5,0,0,244,0,295,5
Gerard Gumbau,1709,60,336,955,433,28,20,7,916,2,1050,52
Robert Gumny,1036,81,383,432,233,23,21,7,372,1,412,59
İlkay Gündoğan,1806,31,243,975,596,88,42,16,1072,7,1425,124
Christian Günter,1583,59,337,680,576,49,16,10,726,6,889,128
Koray Günter,557,82,283,252,29,10,4,3,221,0,230,3
Koray Günter,509,67,233,256,23,7,1,1,247,0,285,2
Gorka Guruzeta,587,13,48,274,267,74,20,10,296,4,412,93
Malo Gusto,1617,49,351,772,513,26,50,20,1195,10,1074,147
Raúl Guti,521,12,120,283,123,18,13,5,307,2,358,17
Miguel Gutiérrez,1628,66,466,697,482,39,75,35,959,17,1037,148
Joško Gvardiol,2369,244,1099,1212,71,22,18,16,1710,3,1795,4
Darko Gyabi,8,0,1,4,3,1,1,0,4,0,2,0
Emmanuel Gyasi,1103,39,196,444,472,92,39,7,627,15,746,154
Norbert Gyömbér,955,136,536,402,22,9,3,2,444,0,481,2
Christian Gytkjær,161,5,8,80,73,27,5,3,84,2,119,32
Erling Haaland,763,18,39,290,435,217,32,11,405,25,583,151
Nicolas Haas,554,43,187,254,115,16,6,1,263,2,336,23
Janik Haberer,926,26,169,468,304,48,31,11,468,5,540,84
Alexander Hack,735,74,350,367,27,13,2,2,344,0,336,0
Munir El Haddadi,614,8,66,253,299,48,34,12,344,7,391,84
Jaouen Hadjam,593,30,161,303,141,13,44,29,380,6,329,39
Dennis Hadzikadunic,242,31,109,117,16,6,0,0,107,0,121,0
André Hahn,156,14,38,63,58,7,6,1,57,0,70,10
Amadou Haidara,980,32,191,619,174,7,12,9,561,0,636,8
Massadio Haïdara,1188,76,345,611,237,29,20,8,823,5,751,58
Achraf Hakimi,1772,49,361,716,713,82,74,29,1414,22,1326,229
Lewis Hall,533,22,165,207,167,21,27,11,320,6,351,40
Sébastien Haller,417,9,34,185,203,68,16,9,203,4,305,65
Marcel Halstenberg,1330,38,408,653,282,21,17,10,717,4,819,66
Mathis Hamdi,44,2,14,16,14,0,1,0,28,0,27,7
Ben Hamed Touré,62,4,12,32,19,0,4,3,36,0,36,8
Romain Hamouma,490,4,23,229,244,42,38,16,360,11,355,110
Saïd Hamulic,24,0,0,15,10,1,5,3,22,0,20,3
Andreas Hanche-Olsen,949,111,512,382,65,16,5,4,487,0,489,10
Samir Handanović,611,498,607,3,1,0,0,0,383,0,405,0
Genki Haraguchi,381,13,66,219,100,9,15,9,238,3,262,28
Genki Haraguchi,214,12,34,119,64,10,6,5,109,2,121,18
Amine Harit,341,10,33,139,176,30,36,13,284,9,273,54
Luke Harris,14,0,0,8,6,0,0,0,9,0,13,0
Jack Harrison,1556,31,192,549,836,81,118,48,959,24,1037,255
Abdou Harroui,395,16,68,211,126,15,15,11,228,3,279,32
Makoto Hasebe,1131,139,542,569,24,0,0,0,713,1,744,2
Haissem Hassan,25,1,6,10,11,1,4,2,21,1,21,3
Hans Hateboer,823,37,220,343,263,29,9,4,398,1,505,73
Kai Havertz,1258,46,108,519,640,165,61,18,728,30,946,218
Eden Hazard,128,0,5,44,82,13,6,2,95,1,112,25
Thorgan Hazard,386,12,76,148,169,18,15,3,209,5,223,50
Rhys Healey,24,0,2,7,15,8,0,0,19,1,23,7
Jan Paul van Hecke,288,27,120,155,13,2,0,0,187,0,213,0
Jonas Hector,2247,127,668,1061,545,56,59,33,1125,9,1226,122
Hwang Hee-chan,425,13,66,178,188,38,32,13,222,7,267,60
Gauthier Hein,951,14,124,460,383,56,49,19,723,24,667,142
Dominique Heintz,404,51,192,191,24,4,4,4,193,0,192,2
Dean Henderson,715,600,711,5,0,0,0,0,397,0,319,0
Jordan Henderson,1782,34,277,1013,505,45,23,12,1060,1,1319,90
Liam Henderson,622,19,135,353,142,14,5,0,368,0,440,38
Jack Hendry,148,13,71,73,7,0,1,0,94,0,90,0
Wayne Hennessey,108,91,108,0,0,0,0,0,56,0,47,0
Benjamin Henrichs,1856,65,520,872,479,49,38,20,1076,8,1156,149
Henrique,260,7,66,150,46,1,6,1,177,0,168,4
Luiz Henrique,880,17,160,369,375,60,125,56,564,24,596,137
Matheus Henrique,1025,29,153,563,321,31,53,34,696,3,766,68
Rico Henry,1582,115,478,647,482,30,50,26,782,9,813,111
Thomas Henry,374,15,25,160,192,48,14,3,193,1,303,58
Christophe Hérelle,552,85,323,210,25,5,2,1,378,0,322,2
Mario Hermoso,1717,139,717,840,171,21,22,14,886,0,1145,17
Javi Hernández,870,54,289,432,157,13,16,11,501,1,555,25
Aridane Hernández,1081,157,567,496,26,11,7,6,593,1,614,0
Lucas Hernández,407,20,153,222,33,2,3,1,267,0,302,4
Luis Hernández,1788,218,833,731,230,14,4,3,783,0,894,8
Mario Hernández,48,2,9,27,12,1,1,0,29,1,27,0
Theo Hernández,2078,69,495,1026,584,69,68,19,1173,16,1280,146
Jorge Herrando,9,4,7,2,0,0,0,0,1,0,3,0
Ander Herrera,540,18,99,302,141,17,10,5,316,1,387,14
Sergio Herrera,653,515,645,8,0,0,2,2,336,0,266,0
Yangel Herrera,556,17,82,301,180,32,23,12,346,3,417,56
Patrick Herrmann,150,3,35,49,68,15,4,0,75,3,85,19
Son Heung-min,1217,12,143,457,643,106,83,33,728,31,860,196
Aaron Hickey,1028,47,328,499,211,21,45,17,616,3,624,47
Isak Hien,1349,168,794,526,47,13,31,16,606,0,576,2
Omar El Hilali,55,6,30,15,10,1,1,0,19,0,20,5
Piero Hincapié,2112,173,862,1067,195,28,31,14,1173,8,1395,42
Jack Hinshelwood,5,0,2,2,1,1,0,0,2,0,3,1
Morten Hjulmand,1665,101,472,982,225,6,26,17,750,0,791,16
Adam Hložek,490,11,49,236,210,42,22,9,251,9,356,70
Joseph Hodge,118,5,26,56,36,4,0,0,56,0,77,5
Nicolas Höfler,1690,100,474,1027,202,31,28,17,804,2,896,10
Jonas Hofmann,1779,27,263,802,733,95,32,14,1019,24,1217,197
Philipp Hofmann,992,59,82,497,419,117,21,9,403,3,747,117
Rob Holding,499,58,240,245,15,7,1,1,319,1,339,2
Lucas Höler,671,25,99,286,295,65,21,11,307,4,468,87
Mason Holgate,286,35,120,139,27,5,3,3,100,0,141,5
Emil Holm,804,42,179,318,318,40,44,18,338,10,430,82
Noah Holm,86,6,17,49,21,5,9,3,60,0,58,8
Gerrit Holtmann,424,2,44,146,242,38,41,16,230,8,272,83
Martin Hongla,258,12,66,142,54,3,14,8,131,1,141,10
Martin Hongla,745,84,333,371,46,1,11,9,455,1,463,5
Franck Honorat,1317,20,172,466,704,98,55,15,919,30,850,261
Jannes Horn,27,3,22,3,2,0,0,0,11,0,12,0
Cédric Hountondji,1774,235,925,814,39,23,2,1,1217,2,1075,1
Ilyes Housni,5,0,1,2,2,0,0,0,6,0,6,1
Lukáš Hrádecký,1163,1007,1153,10,0,0,0,0,667,0,549,0
Petko Hristov,251,19,101,122,29,3,3,0,112,0,133,3
Ajdin Hrustic,121,4,17,59,47,6,12,4,63,2,77,12
Timo Hübers,2020,272,1191,787,57,24,6,6,1146,0,1217,2
Callum Hudson-Odoi,288,6,32,145,117,10,28,14,193,6,240,44
Will Hughes,474,27,101,250,131,13,7,3,234,3,262,23
Mats Hummels,1952,185,879,993,89,31,10,6,1236,0,1310,6
Adrien Hunou,1008,10,138,508,374,69,34,13,769,10,717,149
